CURRENT_MINE_NAME,CURRENT_CONTROLLER_NAME,CURRENT_OPERATOR_NAME,latitude,longitude
Newskah Quarry ,Randy  Rognlin,Northwest Rock Inc,46.898055,-123.809722
Hawks Superior Rock Inc,Michael  Runyon,Hawks Superior Rock Inc,46.690833,-123.803888
Randall Sand & Gravel,Cathy R  Studebaker,Randall Sand & Gravel,40.093611,-123.799722
Naselle Quarry,Arne L Wirkkala,Naselle Rock & Asphalt Company,46.381735,-123.785008
Whiskey CR Plant,Clay E  Cook,S-C Paving Company,45.442222,-123.765833
Chinook Quarry ,Arne L Wirkkala,Naselle Rock & Asphalt Company,46.410841,-123.758678
Wynoochee Pit East,Randy  Rognlin,Northwest Rock Inc,47.078611,-123.581944
Black Diamond Quarry,Dennis  Holcomb,D. Holcomb & Co.,48.060278,-123.498056
Oakridge Sand & Gravel Incorporated,Edward B Fisher,Oakridge Sand & Gravel Inc,44.073611,-123.483056
Andersen & Sons Gravel,Andrew  Andersen; Eric  Andersen,Andersen & Sons Gravel,48.118055,-123.430833
Shenk Quarry,Dan  Kauffman,D K  Quarries Inc,44.985277,-123.429166
BEAR CREEK QUARRY,Mary Lou  Garrett,W W D Corp,43.63989,-123.351496
Harris Quarry,Frank  Dutra,Northern Aggregates Inc,39.3375,-123.310556
Territorial Rock Pit,Joseph G  Pilling,Precision Aggregate Products Inc,44.296111,-123.295277
Conser Quarry,George  Tracer,Conser Quarry Co,44.251944,-123.271388
Fisher Island Plant ,MDU Resources Group Inc,Knife River Corporation - Northwest,44.556388,-123.264722
ESG Corvallis Facility,CRH PLC,Green & White Rock Products ,44.488611,-123.26
Portable Crusher,Carla A  Robertson,Robco Inc,42.435,-123.254444
Martin Creek Quarry,Robert  Mullins,Martin Creek Quarry Inc,43.854722,-123.205278
Blake Pit,David A  Blake; Casey L  Blake,"Blake Sand & Gravel, Inc.",48.130556,-123.1675
Lawson Quarry Inc,Richard  Lawson Jr; Thomas  Lawson,Lawson Quarry Inc,48.555,-123.137222
Shelton Pit,Walt  Miles,Miles Sand & Gravel Company ,47.209722,-123.133056
Bowyer Quarry,John F  Kamph,Kamph Rock Crushing Company Inc,45.151944,-123.121111
Davis Sand & Gravel Incorporated,Dana  Davis,Davis Sand & Gravel Company Inc,48.106944,-123.111667
Kennedy Creek Quarry,James L  Thurman,Kennedy Creek Quarry Incorporated,47.107423,-123.108636
LITTLE CREEK ROCK QUARRY,Jesse  Kollman,Arris Kollman Trucking Inc,47.149444,-123.108333
Delta Pit And Plant,Paula J  Babb,Delta Sand & Gravel Company,44.096667,-123.107222
MBI Portable Crusher #1,MDU Resources Group Inc,Knife River Corporation - Northwest,44.559166,-123.1025
ESG Eugene Facility,CRH PLC,Eugene Sand & Gravel ,44.095833,-123.099166
WCP Inc dba Commercial Redi-Mix ,WCP Incorporated,Commercial Redi-Mix ,44.919722,-123.098333
Plant #1,Aggregate Resource Industries Inc,"Aggregate Resource Crushing, LLC",44.051944,-123.086667
Portable 1,Brent  Kerr,Columbia Northwest Recycling Inc.,45.471944,-123.076111
Manke Family Res LP Johns Prairie Mine,Manke Family Resources & Tacoma Timber Company,Manke Family Resources LP,47.232778,-123.067778
Wildish Sand & Gravel Co Plant #2,Wildish Land Company,Wildish Sand & Gravel Co,44.11,-123.066666
Keizer Pit & Plant,J Scott  Erickson,Viesko Redi Mix Inc,44.998611,-123.058333
ESG Coburg Facility,CRH PLC,Eugene Sand & Gravel,44.1225,-123.057222
Egge Quarry,Vernon L  Egge,Coburg Road Quarry LLC,44.119444,-123.053888
Windsor Rock Products,James A  Monaghan,Windsor Rock Products ,45.043313,-123.050837
Bayshore Pit,Dietz  Kadoun,Bayshore Sand & Gravel,47.249167,-123.045833
"Diamond T Natural Resources, LLC",Wendel  Trappe,"Canyon Rock Co., Inc",38.475277,-123.045555
Portable Crusher,John R  Moerke,Alderbrook Quarry Inc,46.580556,-123.033889
VIESKO PIT AND PLANT,J Scott  Erickson,Viesko Redi Mix Inc,45.095833,-123.031944
Crabtree Pit,Richard  Jonas,"Crabtree Crushing, Inc",45.272777,-123.026111
Reed Pit,MDU Resources Group Inc,Knife River Corporation - Northwest,45.059167,-123.013889
La Grange Mine,Larry E  Yingling,Eagle Rock Inc,40.734444,-123.003333
Delphi Limestone Company,Heritage Group,"U S Aggregates, Inc.",46.973333,-122.996666
PIT #1,Mark John  Dulin,Dulin Construction Inc,46.756632,-122.992777
Willow Creek Aggregate,Michael Ray  Hilton,Hilton Fuel & Supply Company,42.383889,-122.976389
Ellendale Portable Crusher,CRH PLC,Valley Concrete & Gravel Co.,44.898611,-122.974166
Portable Rock Production Co. Sears Pit,Lonny  Bessett,Portable Rock Production Company Inc,43.982635,-122.974005
Turner Gravel Facility,CRH PLC,River Bend Sand & Gravel Co.,44.846193,-122.963337
Portable 1,MDU Resources Group Inc,Knife River Corporation-Northwest,42.421111,-122.959444
Portable 3,MDU Resources Group Inc,Knife River Corporation-Northwest,42.421111,-122.959444
Kirtland,MDU Resources Group Inc,Knife River Corporation - Northwest,42.423333,-122.958611
Good Portable Crusher,Alan Lee  Good,Good Crushing Inc,46.538888,-122.954722
BREEN PORTABLE NO.2,Sterling D  Breen,Sterling Breen Crushing Inc,46.726388,-122.952222
Venable Pit,Edward J  Kernaghan,"Southern Oregon Ready Mix, LLC",42.415,-122.946111
Portable #1,Rusty  Gill,R.G. Crushing Inc.,46.649722,-122.945556
Hard Rock Gardiner Pit,William  Arness,Hard Rock Inc,48.055556,-122.942778
Canyon Rock Co Inc,Wendel  Trappe,Canyon Rock Co Inc,38.514444,-122.923333
Sea Island Quarry,Rockwell B  Arnt,Sea Island Corp,48.645833,-122.920833
Plant #3,Chris  Galpin; John  Holmes,Southern Oregon Rock,42.422014,-122.918961
Maytown Sand & Gravel,Robert R  Lloyd,"Lloyd Enterprises, Inc.",46.888055,-122.9125
Waterview,MDU Resources Group Inc,Knife River Corporation - Northwest,45.950106,-122.909148
Farmington Pit,Gary T  Baker,Baker Rock Crushing Company,45.457434,-122.905026
JLS CRUSHER #2,Jerry L  Storedahl,J L Storedahl & Sons Inc,46.118333,-122.893611
Blue Rock Quarry,Dean  Soiland,BoDean Company Inc,38.463611,-122.882777
Hamilton Resources,Walt  Miles,Miles Sand & Gravel,46.842848,-122.87603
Scappoose Sand & Gravel Company,Scott T  Parker,Scappoose Sand & Gravel Company,45.766666,-122.873055
Healdsburg Main Plant,James M  Syar,Syar Industries Inc,38.603888,-122.855555
Santosh DBA CalPortland,Taiheiyo Cement Corp,CalPortland Company,45.787222,-122.851388
Eagle Star Rock Products LLC,John L  Jersey II; Mike P  Wilkins,Eagle Star Rock Products LLC,45.870833,-122.839444
Moores Gravel Inc,Richard S  Moore,"Moore's Gravel, Inc",41.348611,-122.8275
MBI Portable Crusher #2,MDU Resources Group Inc,Knife River Corporation - Northwest,45.870555,-122.815277
Bear Creek,Stephen J  Johnson,Peninsula Topsoil,47.496944,-122.814444
Northfork Excavating Incorporated,Debbie J  Eaton,Northfork Excavating Inc,45.351388,-122.813611
Crusher #4,Lloyd  Town,Meisel Rock Products,45.341632,-122.80584
Coffee Lake Pond,MDU Resources Group Inc,Knife River Corporation - Northwest,45.351472,-122.803169
104  Portable,A J  Urbanek,Tigard Sand & Gravel LLC,45.36428,-122.799593
Stayton Rock Pit,MDU Resources Group Inc,Knife River Corporation - Northwest,44.789166,-122.794444
Olympia Sand & Gravel,Walt  Miles,Miles Sand & Gravel Company,47.062182,-122.793214
Rivergate,Ridgely H  Gilmour; Mark A  Gilmour,Gilmour and Company,45.622778,-122.784167
RIVERGATE PLANT,Ash Grove Cement Company,Ash Grove Cement Company,45.622777,-122.784166
Cotton Pit & Plant,John T  Shold,Shold Excavating Inc Cotton Redi Mix,48.024444,-122.7675
Fazio Bros Sand Co Inc,Richard G  Fazio,Fazio Bros Sand Co Inc,45.713333,-122.751666
Columbia River Carbonates (Woodland Mill,Northwest Carbonates; Bleeck Management,Columbia River Carbonates,45.904559,-122.743991
"Soiland Co., Inc.",Marvin K  Soiland,"Soiland Co., Inc.",38.321944,-122.736666
Circle C Rock Products,Netta E  Groat,Circle C Rock Products,45.861299,-122.731227
Tucker Hill Mill,Seven Peaks Mining,Cornerstone Industrial Minerals,45.548888,-122.726944
Port of Vancouver DBA CalPortland,Taiheiyo Cement Corp,CalPortland Company,45.644876,-122.723004
Panther Crushing Portable,William D Link Trust,Panther Crushing Inc,42.461944,-122.722222
Canby Pit,Cemex S A,CEMEX Construction Materials Pacific LLC,45.241389,-122.721111
Canby Sand & Gravel Co,Parker-Northwest Inc,Parker Northwest Paving Co Inc,45.253611,-122.713889
Nisqually Pit,Stephen  Nielsen; David  Nielsen,Holroyd Co Inc,47.049874,-122.708811
ACE QUARRY,Richard N  Christopherson,Ace Paving Company Inc,47.551944,-122.705
Portable 1,Matthew  Chavarria,Chavarria Construction Inc,44.958056,-122.700833
KRMI Quarry,Patrick  Lockhart,Kitsap Reclamation & Materials Inc,47.533056,-122.691944
Shine Facility,Walt  Miles,Miles Sand and Gravel Company,47.925369,-122.683491
Rock Quarry,Garry R  Gardner,Gardner Trucking,46.330278,-122.682222
Meadows Rock,Mike  Wilkins,Wilkins Trucking Company Inc,45.589444,-122.680833
X-Rock ,Richard G  Roberts; Jerry R  Becker,X-Rock LLC,44.789722,-122.675278
Hidden Valley Sand & Gravel,Beverly  Van Pelt; Donald  Van Pelt,Clearlake Lava Inc,39.026284,-122.67193
Washington Mine,Timothy A  Callaway,French Gulch (Nevada) Mining Corp,40.718889,-122.671389
Airport Pit,Walt  Miles,Port Orchard Sand & Gravel Company Inc,47.430833,-122.665833
Pt Lakeview Rock & Redi Mix,Beverly  Van Pelt; Donald  Van Pelt,Clearlake Lava Inc,38.927222,-122.6625
Ross Island Plant ,R B Pamplin Corp,Ross Island Sand & Gravel Company,45.493145,-122.657383
Mark West Quarry,Dean  Soiland,Bodean Co Inc,38.5525,-122.653055
Dupont Pit,Taiheiyo Cement Corp,CalPortland Company,47.122777,-122.640555
Prairie Gravel Pit,Curt A  Youderian,Ed's Construction,48.197777,-122.638055
Jerico Products Inc,Michael  Lind; Barbara  Lind,Jerico Products Inc,38.234444,-122.634166
Island County RM,Walt  Miles,Concrete Nor'West,48.356666,-122.613888
Boulder Hill Pit,Walt  Miles,Concrete Nor'West,48.361666,-122.603611
Columbia Granite,James W  Gilmore,Columbia Granite LLC,46.844444,-122.6025
"Rempel Bro's Concrete, Inc.",Edward L  Rempel; David B  Walden,"Rempel Bro's Concrete, Inc.",48.153611,-122.595833
Harvey W Buche Road Building Inc,Harvey W  Buche,Harvey W Buche Road Building Inc,45.096944,-122.587777
Lewisville Pit,Cemex S A,Pacific Rock Products LLC,45.764368,-122.560987
"Winston Quarry, Inc.",Bart  Lyons,Winston Quarry Inc. ,46.510833,-122.556388
CLEARLAKE LAVA,Beverly  Van Pelt; Donald  Van Pelt,Clearlake Lava Inc,38.984444,-122.546944
Portland Road and Driveway Co Inc,Thomas R  Bright,Portland Road and Driveway Co Inc,45.403056,-122.546389
English Pit,Cemex S A,Pacific Rock Products LLC,45.621111,-122.526111
Lehigh Northwest Cement Company,Heidelberg Cement AG,Lehigh Northwest Cement Company,48.769183,-122.524699
Roy,Walt  Miles,Miles Sand & Gravel Co Inc,46.978611,-122.500556
Ball Road Quarry,Gary T  Baker,Baker Rock Resources,45.114444,-122.490556
Rock Plant,Nick L.  Seegert Jr.,Seegert Crushing Inc,48.165833,-122.475277
Plant 1 J Davidson & Sons Const Co Inc,David J  Davidson; Jerald M  Davidson,J Davidson & Sons Construction Company Inc,43.739722,-122.467778
Plant 2 J Davidson & Sons Const Co Inc,David J  Davidson; Jerald M  Davidson,J Davidson & Sons Construction Company Inc,43.739722,-122.467777
Gresham Sand & Gravel Co,MDU Resources Group Inc,Knife River Corporation - Northwest,45.505877,-122.462763
KETT SIDING,Jerry D  Comingdeer,Crystal Creek Aggregate Inc,40.606944,-122.4625
Axton Pit,Steven B  Cowden,"Cowden, Inc.",48.85,-122.460277
San Rafael Rock Quarry,Bill T  Dutra,Dutra Materials,37.984166,-122.453333
Bluelake DBA CalPortland,Taiheiyo Cement Corp,CalPortland Company,45.559366,-122.44871
Courtney Pit,Waldow Family Enterprises Inc,North Clark Construction,45.902777,-122.43
Rickard Rock Quarry,Donn (Ted) Theodore  Salka,Farwest Portable Crushing Inc,45.501111,-122.4225
Guadalupe,Dan  Evans; Wayne  Evans,Evans Brothers Inc,37.687222,-122.419166
VASHON SAND AND GRAVEL dba CalPortland ,Taiheiyo Cement Corp,CalPortland Company,47.380833,-122.418611
Aggregate Products,John F  Shea,Aggregate Products,40.508905,-122.416721
Tacoma Plant,Graymont Ltd,Graymont Western US Inc,47.271111,-122.3975
A & B Rock Pit,Brandon  Crabtree; Aaron  Crabtree,"A & B Rock, Inc.",48.891111,-122.3975
Westside Aggregate,William R  Schmitt,Westside Aggregate,40.507469,-122.397137
PILARCITOS QUARRY,Vulcan Materials Company,CalMat Co,37.494722,-122.392222
San Francisco Marine Plant,Heidelberg Cement AG,"Hanson Aggregates Mid-Pacific, Inc.",37.745555,-122.377777
Estacada Rock Products Inc,Allen M  Collins; David L.  Coffin,Estacada Rock Products Inc,45.302778,-122.358333
Canyon Resources,Walt  Miles,Miles Sand and Gravel Company,47.201388,-122.356111
Seattle Plant,Lafarge S A,Lafarge North America Inc,47.554444,-122.345278
Seattle Plant,Ash Grove Cement Company,Ash Grove Cement Company,47.567222,-122.3425
Belleville,Walt  Miles,Concrete Nor'West,48.526666,-122.340277
J A Jack & Sons,Sharon  Jack; Linda  Jack Liebich,J A Jack & Sons Inc,47.553611,-122.339444
Portable C,David  Grainger,Aggregates West Inc,48.953611,-122.331111
Simpson Pit,Dan L  Simpson,Simpson Sand & Gravel,48.123333,-122.322777
Milton Pit,Robert R  Lloyd,"Lloyd Enterprises, Inc.",47.26,-122.321389
Redding Plant,Heidelberg Cement AG,Lehigh Southwest Cement Company,40.7375,-122.318056
Fawndale Rock & Asphalt,John F  Shea,Fawndale Rock & Asphalt,40.733888,-122.317222
BUTLER PIT,Walt  Miles,Concrete Nor'West,48.529722,-122.311667
SWA @ Mountain Gate Quarry,Corkey  Harmon,"Stimpel Wiebelhaus Associates, Inc.",40.734458,-122.310051
Pacific Quarry,Martin Marietta Materials Inc,"Martin Marietta Materials, Inc",48.382782,-122.30019
Siper Road Pit,Walt  Miles,Concrete Nor'West,48.878333,-122.296111
Thun Field Pit,Scott D  Corliss,Corliss Resources Inc,47.149444,-122.293056
Siper Quarry,Steven B  Cowden,"Cowden, Inc. ",48.858611,-122.293056
Shasta Ranch Aggregates,Lyle  Tullis,"Tullis, Inc.",40.455833,-122.281666
Napa Quarry,James M  Syar,Syar Industries Inc,38.261944,-122.275833
Napa Shop,James M  Syar,Syar Industries Inc,38.261944,-122.275833
Lynch Creek Quarry LLC,David G  Randles,Lynch Creek Quarry LLC,46.875278,-122.260833
"IKO Pacific, Inc",Goldis Enterprises Inc,"IKO Pacific, Inc",48.992777,-122.255
Turk Pit,Sandra  Forman,"Pacific Topsoils, Inc.",48.075,-122.255
Langley Hill Quarry ,Michael W  Dempsey; Patrick K  Dempsey,Langley Hill Quarry,37.336111,-122.247777
Manufacturers Mineral Co. Renton Plant,Jim  Anderson,Manufacturers Mineral Company,47.467778,-122.242778
Everett Pit & Plant,Cemex S A,Cemex Construction Materials Pacific LLC,47.939323,-122.236586
Oakland Marine Plant,Heidelberg Cement AG,"Hanson Aggregates Mid-Pacific, Inc.",37.764383,-122.222287
Fennel Resources ,Walt  Miles,Miles Sand & Gravel Company,47.150278,-122.216389
Auburn Facility,CRH PLC,ICON Materials,47.2725,-122.202778
King Creek Pit,Harry W  Hart,Washington Rock Quarries Inc,47.037222,-122.194722
Whatcom Portable Mill,Granite Construction Inc,Granite Construction Company,47.996944,-122.185555
Lake Herman Quarry,James M  Syar,Syar Industries Inc,38.117222,-122.181111
Valley Rock Products - Willows Plant,Shamrock Materials Inc,Valley Rock Products,39.598948,-122.169236
Kapowsin Quarry,Harry W  Hart,Washington Rock Quarries Inc,47.043611,-122.136667
Valley Rock Products - Red Bluff Plant,Shamrock Materials Inc,Valley Rock Products ,40.016388,-122.1225
Valley Rock Products-Orland,Shamrock Materials Inc,Valley Rock Products ,39.745906,-122.111029
Felton Quarry,Granite Construction Inc,Granite Construction Co,37.034722,-122.098055
Cadman (Redmond),Heidelberg Cement AG,Cadman Inc,47.675833,-122.088611
 Permanente Cement Plant & Quarry,Heidelberg Cement AG,Lehigh Southwest Cement Co.,37.32,-122.086944
Permanente Rock Plant,Heidelberg Cement AG,Lehigh Southwest Cement Company,37.32,-122.086944
Stevens Creek Quarry,Richard  Voss,Stevens Creek Quarry Inc,37.296944,-122.084444
Santa Cruz Sand Plant,Thomas H  Squeri,Granite Rock Company,36.960277,-122.083611
"Clauson Quarry, LLC",Steven B  Cowden,Cowden Inc,48.971389,-122.077778
Quail Hollow Operation,Thomas H  Squeri,Granite Rock Company,37.077777,-122.058333
Lake Frances Pit,Gary  Merlino; Don  Merlino,"Quality Aggregates, LLC",47.439722,-122.043888
Wilkeson Sandstone Quarry LLC,Charles C  Nelson; Marilyn M  Nelson,Wilkeson Sandstone Quarry LLC,47.105278,-122.030833
Issaquah Pit & Plant,Lakeside Industries Inc.,"Lakeside Industries, Inc",47.486111,-122.029722
Getchell Pit,Walt  Miles,Concrete Nor'west,48.074061,-122.021724
Capay Plant Facility,Granite Construction Inc,Granite Construction Company,38.715,-122.010277
Mt Hood Rock Products,Daniel J  Turin; Dennis P  Turin,Jim Turin & Sons Inc,45.382778,-122.008889
MORGAN KAME TERRACE,William  Kombol,Palmer Coking Coal Company LLP,47.319722,-122.006389
White River Quarry,Taiheiyo Cement Corp,CalPortland Company,47.193611,-121.999722
Cadman Black Diamond,Heidelberg Cement AG,Cadman (Black Diamond) Inc,47.286389,-121.993889
Esparto Plant,Teichert Inc,Teichert Aggregates,38.730833,-121.988056
LEXINGTON QUARRY,Vulcan Materials Company,CalMat Co,37.200555,-121.981388
Cadman High Rock Quarry,Heidelberg Cement AG,Cadman (Rock) Inc,47.81573,-121.97464
Clayton,Heidelberg Cement AG,"Hanson Aggregates Mid-Pacific, Inc.",37.936666,-121.957222
Pine Creek Rock,Basic Resources Inc,7/11 Materials Inc,39.879016,-121.953253
Enumclaw Pit & Plant,Scott D  Corliss,Corliss Resources Inc,47.196389,-121.947222
Clayton Plant,Cemex S A,CEMEX Construction Materials Pacific LLC,37.93,-121.942222
Cache Creek Quarry,Cemex S A,CEMEX Construction Materials LLC,38.686111,-121.941944
Menzel Lake Gravel ,Robert E  Hild,Lake Industries LLC,48.066944,-121.939444
Granite Falls Quarry,Cemex S A,Cemex Construction Materials Pacific LLC,48.117222,-121.931111
Olive Springs Quarry Inc,Christine  Bone; Daniel  Harn,Olive Springs Quarry Inc,37.054722,-121.925277
Sunol Plant,Heidelberg Cement AG,Mission Valley Rock,37.575833,-121.880278
PALMER JUNCTION GRAVEL PIT-KANASKAT PIT,Cliff  Schroeder,"Watson Asphalt Paving Company, Inc.",47.317896,-121.879586
Mt Si Quarry Inc,Thomas P Weber,Mt Si Quarry Inc,47.509595,-121.871235
Sunol Aggregates,DeSilva Holding Co,Sunol Aggregates,37.569167,-121.863889
Jerico Products Incorporated,Michael  Lind; Barbara  Lind,Jerico Products Inc,38.088889,-121.8525
Eliot Plant,Cemex S A,Cemex Construction Materials Pacific LLC,37.6725,-121.831111
Pleasanton Plant,Vulcan Materials Company,CalMat Co,37.676667,-121.826944
Snoqualmie S&G dba CalPortland Company,Taiheiyo Cement Corp,CalPortland Company,47.551389,-121.8125
Morehead Pit,Darren  Morehead,Butte Sand & Gravel,39.154378,-121.804535
Lapis Plant,Cemex S A,Cemex Construction Materials Pacific LLC,36.712222,-121.799444
South Central Pumice LLC,Patrick J  Schaffner,South Central Pumice LLC,43.152222,-121.794167
Dicalite Minerals Corp,Dicalite Management Group,Dicalite Minerals Corp,41.017778,-121.777222
DECKER ISLAND ,Randy  Jensen; Thomas P.  Farrell Jr.,D.I. Aggregate Management LLC,38.094167,-121.723611
North Bend,Heidelberg Cement AG,Cadman Inc,47.464166,-121.705277
Kellog Creek Aggregates Inc,Sherri  Mognaga,Kellog Creek Aggregates Inc,37.86,-121.674444
G3 Enterprises Byron Plant,Robert  Lubeck,"G3 Enterprises, Inc.",37.8625,-121.669167
Green Crow Rock Products-Arlington Pit,Randall S  Johnson,Green Crow Rock Products,48.275,-121.660555
A R Wilson Quarry,Thomas H  Squeri,Granite Rock Co,36.897222,-121.634722
FRANKLIN SAND PLANT,John H  Franklin,Franklin Construction Inc,39.648611,-121.634166
Iron Mountain Quarry ,James  Burnett; Lawrence P.  Hughes,Iron Mountain Quarry LLC,48.051773,-121.629707
NATIVIDAD PLANT,Lhoist Group,Lhoist North America of Arizona Inc.,36.746944,-121.603333
BCJ Sand and Rock Inc,James Bradley  Slender,BCJ Sand and Rock Inc,39.637778,-121.588611
TRP Table Mountain Plant,Vulcan Materials Company,Triangle Rock Products,39.574166,-121.582777
WILLIAMS PIT,Richard  Voss,Stevens Creek Quarry Inc,36.878333,-121.575833
Morris Ravine Mine,MRLLC  Investors LTD,Mineral Resources LLC,39.565,-121.547222
Dantoni Rd,Noble Debs  Plant,Kino Aggregates Incorporated,39.163137,-121.517035
Hallwood Plant,MDU Resources Group Inc,Knife River Const.,39.201388,-121.509722
S.R.I. MARYSVILLE,Edward  Mallory; Marlys E  Greenhalgh,Silica Resources Inc,39.167318,-121.451754
Western Aggregates LLC,Eagle Materials Inc,Western Aggregates LLC,39.185556,-121.450278
Tracy Kerlinger Plant,Cemex S A,Cemex Construction Materials Pacific LLC,37.680555,-121.429166
Handley Ranch Quarry,Granite Construction Inc,Granite Construction Company,36.565,-121.427222
STRINGER PIT,Edward  Mallory; Marlys E  Greenhalgh,"Silica Resources, Inc.",39.220277,-121.4225
PLANT 25,Donald D  Chapin Jr.,Don Chapin Company Inc,36.893056,-121.419167
FLORIN PLANT,GEO International,Industrial Minerals Company,38.493611,-121.396944
Perkins Plant,Teichert Inc,Teichert Aggregates,38.545,-121.377778
Sand Merchant,Saltchuck Resources Inc,Foss Maritime Company,37.906111,-121.371111
Cal Rock Products LLC,David P  Grimsley,Cal Rock Products LLC,36.735556,-121.368333
Able Supply Portable,Kevin  Peterman,Able Supply LLC,43.979166,-121.360833
Vernalis Plant,Teichert Inc,Teichert Aggregates,37.621944,-121.359444
Cake Pit,Eric W  Coats,Shevlin Sand & Gravel LLC,44.097636,-121.352175
Vernalis Plant,Granite Construction Inc,Granite Construction Company,37.602777,-121.346388
Patterson Plant,Cemex S A,CEMEX Construction Materials Pacific LLC,39.020278,-121.344722
Parks Bar Quarry,Jens  Karlshoej,Nordic Industries Inc,39.221389,-121.337778
Bradshaw ,Granite Construction Inc,Granite Construction Company,38.548888,-121.334444
Knife River Construction Vernalis Plant,MDU Resources Group Inc,Knife River Construction,37.617222,-121.333055
Southside Sand And Gravel,Thomas H  Squeri,Granite Rock Company,36.796944,-121.331389
Glass Mountain Pumice,Quikrete Holdings Inc.,"Monarch Mountain Minerals & Aggregates, LLC",41.644444,-121.3275
PORTABLE # 3,Ron  Robinson Jr,4 R Equipment LLC,44.058611,-121.314166
Mossdale Plant,Robert H  Brown Jr,Brown Sand Inc,37.771388,-121.313888
GMcB Lincoln Pits & Mill,Pacific Coast Building Products Inc,Gladding McBean,38.894444,-121.291666
TRP-Sacramento Plant,Vulcan Materials Company,Triangle Rock Products,38.496666,-121.251666
Renewable Resources,Robert F  Enz,Renewable Resources,36.702222,-121.239722
Hidden Canyon Quarry,Mark  Schipper; Peter  Schipper,San Benito Supply,36.354167,-121.226944
Sunrock Quarry,Randy D  Munsen,Munsen Paving LLC,45.6425,-121.210555
Portable Crushing,John C  Bryant,"J Arlie Bryant, Inc.",45.612222,-121.207777
Cinder Butte Rock Products,Joy  Foss,Cinder Butte Rock Products,44.307222,-121.190277
