CURRENT_MINE_NAME,CURRENT_MINE_STATUS,CURRENT_CONTROLLER_NAME,CURRENT_OPERATOR_NAME,PRIMARY_SIC,latitude,longitude
C & H Coal,Abandoned,Curry Chuck & Ralph Hix,C & H Coal,Coal (Bituminous),38.35,-87.25
Log Creek Loadout Facility,Active,RWE Trading Americas Inc; JMP Coal Holdings LLC,Triad Mining Inc.,Coal (Bituminous),38.283333,-87.25
Hwm Job #22,Abandoned,Horizon Natural Resources Incorporated,Mining Technologies Inc,Coal (Bituminous),38.283333,-87.25
Flat Creek,Abandoned,James River Coal Company,Triad Mining Inc,Coal (Bituminous),38.283333,-87.25
Hurricane Creek,NonProducing,RWE Trading Americas Inc; JMP Coal Holdings LLC,Triad Mining Inc,Coal (Bituminous),38.283056,-87.25
Carpet Rock,Abandoned,Tri-Square Inc,Lone Star Mining Company Inc,Coal (Bituminous),33.8,-87.25
Ground Hog Mine,Abandoned,Hill Charles E,Mc Clarty Construction & Equipment Company Inc,Coal (Bituminous),33.366667,-87.25
No 7 Mine,Active,Walter Energy Incorporated,Jim Walter Resources Inc,Coal (Bituminous),33.304722,-87.249722
BRC Alabama No. 7 LLC,Active,Steve  Rickmeier,BRC Alabama No. 7 LLC,Coal (Bituminous),33.304722,-87.249722
Little Spring Creek Mine,New Mine,Otis R  Robison Jr,"Cedar Lake Mining, Inc.",Coal (Bituminous),33.946111,-87.249444
Bradley Town,Abandoned,Bennett Robert W,R & D Mining Inc,Coal (Bituminous),33.6933,-87.2494
Greenville No 1 Strip Mine,Abandoned,Genet Herman W & John A Stovall,Black Energy Mining Company,Coal (Bituminous),37.1731,-87.2486
Log Creek Surface,Active,RWE Trading Americas Inc; JMP Coal Holdings LLC,Triad Mining Inc.,Coal (Bituminous),38.279722,-87.247777
Star Mine,New Mine,Charles C  Ungurean,"Oxford Mining Company-Kentucky, LLC",Coal (Bituminous),37.286388,-87.245
Hogsick Mine,Abandoned,Walter Energy Incorporated,Tuscaloosa Resources Inc,Coal (Bituminous),33.335277,-87.245
Cherry Grove Quarry,Active,"Fred Weber, Inc.",Iron Mountain Trap Rock,"Crushed, Broken Limestone NEC",36.705,-87.244166
Curry Pit,Abandoned,Bowen Albert S,Nickel Plate Mining Company Inc,Coal (Bituminous),34.0014,-87.2436
Beech Creek Mine,Abandoned,Phoenix Coal Corporation,C & R Coal Company Inc,Coal (Bituminous),37.244722,-87.243333
No 5 Mine,Abandoned and Sealed,Asbury Charles M,Kline Coal Company Inc,Coal (Bituminous),30.5067,-87.2431
Thompson Bros Coal Co Inc,Abandoned,Thompson Leroy & Leonard,Thompson Brothers Coal Company Inc,Coal (Bituminous),40.9464,-87.2417
Alford Pit,Abandoned,Stowell Richard & C A Spragins Jr,Spencer Coal Corp,Coal (Bituminous),38.4869,-87.2417
South Augusta,Abandoned,James River Coal Company,Triad Mining Inc,Coal (Bituminous),38.333333,-87.241666
Coal Creek Mine,Abandoned,Russell Vester H,Russell Coal Inc,Coal (Bituminous),33.6611,-87.2408
Coal Creek #2,Abandoned,Russell Vester H,Russell Coal Inc,Coal (Bituminous),33.6611,-87.2408
Riverside,Abandoned,Otis R  Robison; Kendall  Robison,Best Coal Inc,Coal (Bituminous),33.5625,-87.24
Pit 8-2 Riverside,Abandoned,Raines Charles H,Kinlock Coals Inc,Coal (Bituminous),,-87.24
Riverside Mine,Abandoned,Costain Group PLC,Energy Supply Inc,Coal (Bituminous),,-87.24
Hawthorn Mine,Abandoned and Sealed,Patriot Coal Corporation,Peabody Coal Company,Coal (Bituminous),38.931111,-87.239444
Depoy,Abandoned,Sisk John S & Gerlie V Rickard,Black Magic Resources Inc,Coal (Bituminous),37.1997,-87.2392
Friendship Mine,Abandoned,Carver David G,Friendship Energy Inc,Coal (Bituminous),37.1875,-87.2392
Reed Pit #5101,Abandoned,Cemex S A,"Ready Mix USA, LLC",Construction Sand and Gravel,31.409166,-87.239166
Freelandville East,Active,RWE Trading Americas Inc; JMP Coal Holdings LLC,Triad Mining Inc,Coal (Bituminous),38.843055,-87.238888
Oakman No 4,Abandoned,Gagnon Fred M,A I M E E,Coal (Bituminous),33.4056,-87.2356
Herron Mine,Abandoned,Laguna Resources Inc,Walker Land & Mineral Corp,Coal (Bituminous),33.7653,-87.2353
Century Mines,Active,James  Campbell,Campbell Sand & Gravel Co,Construction Sand and Gravel,30.984166,-87.235
Aldridge Mine No 1,Abandoned,Powell Joe E,Pickens Coal Inc,Coal (Bituminous),33.7278,-87.2347
Clayvigo No. 1 Mine,Abandoned,RLF Chinook Properties LLC,"RLF Chinook Properties, LLC",Coal (Bituminous),39.433333,-87.233333
Conti #16,Abandoned,Milligan George,Continental Augering Inc,Coal (Bituminous),39.433333,-87.233333
Pit #One,Abandoned,Mc Guire George R,Indiana Mining Inc,Coal (Bituminous),39.0417,-87.2333
Oakman Pit No 3,Abandoned,Gagnon Fred M,A I M E E,Coal (Bituminous),33.4133,-87.2333
Jap Creek Mine,Active,TRU Energy Services LLC,Reed Minerals Inc,Coal (Bituminous),33.698888,-87.232222
Gorgas Pit,Abandoned,Russell Vester H,Russell Coal Inc,Coal (Bituminous),33.6528,-87.2308
Patterson Town,Abandoned,Nason Anice H,Anice H Nason,Coal (Bituminous),33.3083,-87.2306
Big Ridge Mine,Abandoned,Raines Charles H,Kinlock Coals Inc,Coal (Bituminous),33.7386,-87.2294
Eel River Mine,Abandoned,Major Jeffery R,Coal Power Inc,Coal (Bituminous),39.2542,-87.225
Gorgas Recovery Project,Abandoned,Russell Vester H,Russell Coal Inc,Coal (Bituminous),33.65,-87.225
Ground Hog Mine,Abandoned,TRU Energy Services LLC,C & H Mining Company Inc,Coal (Bituminous),33.4083,-87.225
Landree Mine,Active,CraKol Energy LLC,South Central Coal Indiana LLC,Coal (Bituminous),39.128333,-87.223889
Gorgas Pond Project,Abandoned,Eugene F  Morton,"M&B Excavating Co., LLC",Coal (Bituminous),33.654166,-87.222777
Johnson Pit,Abandoned,Johnson Thomas L,Cajun Coal Company Inc,Coal (Bituminous),38.3625,-87.2208
Aldridge Mine No 3,Abandoned,TRU Energy Services LLC,New Acton Coal Mining Company Inc,Coal (Bituminous),33.7222,-87.2206
VANCE QUARRY,Active,Martin Marietta Materials Inc,Martin Marietta Materials,"Crushed, Broken Limestone NEC",33.181371,-87.219816
Pit No 6,Abandoned,Gail  Beaird,Cordova Clay Company Inc,Coal (Bituminous),33.7611,-87.2186
Corinth Mine (Surface),Abandoned,Otis R  Robison; Kendall  Robison,Best Coal Inc,Coal (Bituminous),33.7,-87.2172
Cordova Mine,Abandoned,Radar USA Holding Corp,Birmingham Coal & Coke Company Inc,Coal (Bituminous),33.7889,-87.2167
Gray #1 - Blackfoot #5,Temporarily Idled,Robert E  Childress; Loyd J  Cole,"Sun Energy Group, LLC",Coal (Bituminous),38.397778,-87.216111
Keda Mine,Abandoned,Vanover Kevin,Vanover Coal Company Inc,Coal (Bituminous),37.6475,-87.2147
Vanover Mine,Abandoned,Zielinski Brothers,Zielinski Construction Corp,Coal (Bituminous),37.6475,-87.2147
Environmental Improvement Mine,Abandoned,Long Lynn,Safe Development Corp,Coal (Bituminous),33.9969,-87.2136
Bankhead Mine,Abandoned,Alon  Ballenger,C F Ballenger Corp,Coal (Bituminous),33.875,-87.2131
Gamel Mine,Abandoned,Cupps Johnny,Met Coal Company Inc,Coal (Bituminous),33.875,-87.2131
Northbrook Mine,Abandoned,Russell Vester H,Russell Coal Inc,Coal (Bituminous),33.7083,-87.2125
BRC Minuteman LLC,NonProducing,DB RC Investments II LLC,BRC Minuteman LLC,Coal (Bituminous),37.279722,-87.211111
Tennyson Mine,Abandoned,Tennyson Russell,Russell Tennyson Coal Company,Coal (Bituminous),39.0758,-87.21
Pace Sand & Gravel,Abandoned,Betty  Johnson,Pace Sand & Gravel,Construction Sand and Gravel,31.003888,-87.21
Cedar Creek Pit,Active,C R  Campbell Sr,"South Alabama Materials, Inc.",Construction Sand and Gravel,31.003888,-87.21
Paradise #9,Active,Robert E  Murray,KenAmerican Resources Inc,Coal (Bituminous),37.299444,-87.209722
Cane Creek Mine,Abandoned,Jeffery  Elkins,Gunner-Reilly Corporation,Coal (Bituminous),33.771666,-87.209722
Cane Creek Mine,Active,Otis R  Robison Jr,Cane Creek LLC,Coal (Bituminous),33.771666,-87.209722
Paradise #11,Abandoned and Sealed,Robert E  Murray,Kenamerican Resources Inc,Coal (Bituminous),37.2994,-87.2097
BRC Rockcrusher LLC,NonProducing,Steve  Rickmeier,BRC Rockcrusher LLC,Coal (Bituminous),37.279722,-87.209167
Mine No 2,Abandoned,Phoenix Coal Corporation,Phoenix Coal Processing Company LLC,Coal (Bituminous),37.279722,-87.209166
Mary Lee No 2 Mine,Abandoned and Sealed,Drummond Company Inc,"Drummond Company, Inc.",Coal (Bituminous),33.6706,-87.2086
Francisco Mine,Abandoned and Sealed,Robert E  Murray,Consolidation Coal Company,Coal (Bituminous),39.075,-87.2083
4th Vein Mine,Abandoned,Bass J M Jr,Coal Inc,Coal (Bituminous),39.075,-87.2083
Linton Pit #2,Abandoned,Burke William L,Great Lakes Coal Company,Coal (Bituminous),39.075,-87.2083
Midwest Fuels Inc Preparation Plant,Abandoned,Rick  Risinger,Midwest Fuels Inc,Coal (Bituminous),39.075,-87.2083
Cave Springs,Abandoned,Natomas Company,Brown Badgett Inc,Coal (Bituminous),37.1569,-87.2083
Sacramento Mine,Abandoned,Centennial Coal Inc,Centennial Resources Inc,Coal (Bituminous),36.4333,-87.2083
Piney Ridge,Abandoned,Powell Joe E,Pickens Coal Inc,Coal (Bituminous),34.0417,-87.2083
Riverside Mine,Abandoned,Simmons George M,Ryan'S Coal Company Inc,Coal (Bituminous),33.5589,-87.2083
Tuscaloosa Pit #1,Abandoned,Hill Charles E,Mc Clarty Construction & Equipment Company Inc,Coal (Bituminous),33.3314,-87.2083
Bull City Mine,Abandoned,Hill Charles E,Mc Clarty Construction & Equipment Company Inc,Coal (Bituminous),33.3314,-87.2083
No 3 Mine,Abandoned and Sealed,Harold K  Simpson,Simpson Mining Company Inc,Coal (Bituminous),36.7758,-87.2078
No 4,Abandoned and Sealed,Harold K  Simpson,Simpson Mining Company Inc,Coal (Bituminous),36.7758,-87.2078
America Highwall,Abandoned and Sealed,Drummond Company Inc,"Drummond Company, Inc.",Coal (Bituminous),33.6894,-87.2072
Augusta Mine,Active,RWE Trading Americas Inc; JMP Coal Holdings LLC,Triad Mining Inc.,Coal (Bituminous),38.331944,-87.206667
AUGUSTA AUGER,Abandoned,Michael T  McCullough,"BLACK HAWK MINING, INC.",Coal (Bituminous),38.331944,-87.206666
Chapel Hill,Abandoned,Radar USA Holding Corp,Birmingham Coal & Coke Company Inc,Coal (Bituminous),33.8192,-87.205
Hickman County Quarry,Active,Rogers Group Inc,Rogers Group Inc,"Crushed, Broken Limestone NEC",35.956944,-87.204722
BRC Chinook LLC,NonProducing,Steve  Rickmeier,BRC Chinook LLC,Coal (Bituminous),39.441944,-87.203333
Corinth Prep Plant,Active,Ronald S  Bryant,Warrior Investment Company Inc,Coal (Bituminous),33.696389,-87.203056
Flat Top Mine,Abandoned,Walter Energy Incorporated,"Walter Minerals, Inc",Coal (Bituminous),33.696388,-87.203055
Corinth Mine,Abandoned and Sealed,Ronald S  Bryant,Warrior Investment Co Inc,Coal (Bituminous),33.696388,-87.203055
Joshua Mine,Abandoned,Daryn  Bookout,Bookout Construction Corp,Coal (Bituminous),33.6272,-87.2019
Carbonero #1,Abandoned and Sealed,Badgett Brown Jr,Carbonero Inc,Coal (Bituminous),37.4442,-87.2014
Pit #1,Abandoned,TRU Energy Services LLC,C & H Mining Company Inc,Coal (Bituminous),33.35,-87.2003
Carbon Pit,Abandoned,Heitman James R,Sun Mining Company,Coal (Bituminous),39.416667,-87.2
Parke Mine,Abandoned,Parke Warren W,Parke Coal Company,Coal (Bituminous),38.333333,-87.2
Linie Pit No 1 Strip,Abandoned,Goldman Robert A & William B Gladstone,Abbott Coal & Energy Company,Coal (Bituminous),38.283333,-87.2
Blackfoot No 2,Abandoned,Petersville Sleigh Ltd,Ohio Valley Company Construction Division Inc,Coal (Bituminous),38.283333,-87.2
Rhodes,Abandoned,Andalex Resources B V,West Ken Coal Corp,Coal (Bituminous),37.175,-87.2
Cordova,Abandoned,Doris  Haley,"Haley Bros. Coal, Inc.",Coal (Bituminous),33.758055,-87.2
Bankhead Mine,Abandoned,Russell Vester H,Russell Coal Inc,Coal (Bituminous),33.6625,-87.1994
Wallace Pit,Abandoned,Escambia County-AL,Escambia County Commission,"Clay, Ceramic, Refractory Mnls.",31.212222,-87.1975
Pit No 2,Abandoned,Mullins Dan & Kent Lewis,Blaylock Clay & Mineral Company,Coal (Bituminous),38.7875,-87.1972
Greenville Quarries,Active,John A  Stovall; Bernice G  Cornette,Road Builders and Parkway Construction LLC,"Crushed, Broken Limestone NEC",37.097222,-87.193611
Lawrenceburg Quarry & Mill,Active,Rogers Group Inc,Rogers Group Inc,"Crushed, Broken Limestone NEC",35.224166,-87.193611
Sealy Ann Mountain Mine,Abandoned,Timothy L  McCoy,Alabama Land & Mineral Corp,Coal (Bituminous),33.3719,-87.1933
Mc Collum Pit No 2,Abandoned,Raines Charles H,Mc Collum Coal Company Inc,Coal (Bituminous),33.3719,-87.1933
Gilmore Mine No 2,Abandoned,TRU Energy Services LLC,C & H Mining Company Inc,Coal (Bituminous),33.5408,-87.1925
Liberty Mine,Abandoned,Costain Group PLC,Energy Supply Inc,Coal (Bituminous),33.3375,-87.1917
Pinegar Mine,Abandoned,Hobson Jimmy,Big Sandy Enterprises Inc,Coal (Bituminous),33.3339,-87.19
Pinegar Mine,Abandoned,Hobson Jimmy,Big Sandy Enterprises Inc,Coal (Bituminous),33.3339,-87.19
JC #3,Temporarily Idled,Dennis Lee  Jarvis,Jarvis Coal LLC,Coal (Bituminous),39.221388,-87.188611
Mary Lee Mine,Abandoned,Radar USA Holding Corp,Birmingham Coal & Coke Company Inc,Coal (Bituminous),33.7814,-87.1881
Black Creek Mine,Abandoned,Rogers Group Inc,Rogers Group Inc,Coal (Bituminous),39.02,-87.1875
Magruder Mine,Abandoned,Winn Jerry E,Winn Construction Company Inc,Coal (Bituminous),37.5844,-87.1875
Jefferson Mine,Abandoned,Cobb W F Jr,Jefferson Coal Company,Coal (Bituminous),33.4597,-87.1861
Mine No 2,Abandoned and Sealed,Pruitt Bill,Bill Pruitt Coal Company,Coal (Bituminous),37.45,-87.183333
No 2 Mine,Abandoned and Sealed,Blankenship James,B B Blankenship Coal Company,Coal (Bituminous),37.45,-87.183333
Coal Inc,Abandoned,Rick  Risinger,Coal Inc,Coal (Bituminous),39.125,-87.1833
Midwest Fuels Inc #1,Abandoned and Sealed,Rick  Risinger,Midwest Fuels Inc,Coal (Bituminous),39.125,-87.1833
Groundhog Mine,Abandoned,Schofield Donald W,Alabama Highwall Mining Llc,Coal (Bituminous),33.4081,-87.1828
Bemco,Abandoned,Teague William O,Bemco,Coal (Bituminous),37.4653,-87.175
Rockport Terminal,Abandoned,Petersville Sleigh Ltd,Western Engineering Inc,Coal (Bituminous),37.3417,-87.175
Little Joe,Abandoned,Bennett Ricky D,Bennett Sons,Coal (Bituminous),37.4639,-87.1747
Fancy Lump Mine No 2,Abandoned,Phillip  Treadway,Treadway Inc,Coal (Bituminous),33.916666,-87.173333
Bon Harbor Mine,Abandoned,Donald  Blankenberger,B B Mining Inc,Coal (Bituminous),37.7972,-87.1722
Bon Harbor,Abandoned,Zielinski Brothers,Zielinski Construction Corp,Coal (Bituminous),37.7972,-87.1722
Mine #1,Abandoned,Robbins Jack E,Robbins Mining Of Walker County-Alabama,Coal (Bituminous),33.635,-87.1719
Johnson Mine,Active,Randall E  Crawford,Cahaba Resources LLC,Coal (Bituminous),33.3425,-87.171667
Buttonsberry Mine,Abandoned,Davis Edward W,Bremen Minerals Inc,Coal (Bituminous),37.4578,-87.1708
Mill Creek Mine,Abandoned,Drummond Company Inc,"Drummond Company, Inc.",Coal (Bituminous),33.9553,-87.1636
Bon Harbor,Abandoned,Alexander Jerry,R A Alexander & Sons Inc,Coal (Bituminous),37.805,-87.1631
TUSCALOOSA QUARRY,Active,Vulcan Materials Company,"Vulcan Constr. Materials, L.P.","Crushed, Broken Limestone NEC",32.9825,-87.162222
Gibraltar,Abandoned,Patriot Coal Corporation,Peabody Coal Company,Coal (Bituminous),37.538611,-87.160833
Carbon #1,Abandoned,Douglas E  Miller,"Carbon Operations Of Kentucky, LLC",Coal (Bituminous),37.538611,-87.160833
Pit 28 Mine,Abandoned,Laguna Resources Inc,Walker Land & Mineral Corp,Coal (Bituminous),33.3219,-87.1608
Eco-12,Abandoned,Wps Resources Corp,Pdi Operations,Coal (Bituminous),33.3219,-87.1608
Area #6 Mine,Abandoned,Timothy L  McCoy,Alabama Land & Mineral Corp,Coal (Bituminous),33.3139,-87.16
Shannon Washer Facility,Abandoned,Timothy L  McCoy,Alabama Land & Mineral Corp,Coal (Bituminous),33.3203,-87.1589
Rock Run,Abandoned,Romero Richard,Northern Coal Company Inc,Coal (Bituminous),39.6,-87.1583
Owensboro Coal Dock,Abandoned,Fred J  Cassetty,Owensboro Coal Dock Inc,Coal (Bituminous),37.775,-87.1583
Mine #89,Abandoned,Drummond Company Inc,"Drummond Company, Inc.",Coal (Bituminous),33.5861,-87.1583
River Road Screen Llc,Abandoned,Michael  Jones; Kyle  Ingles,River Road Screen Llc,Coal (Bituminous),33.775833,-87.158055
Maxine Mine,Abandoned and Sealed,Drummond Company Inc,"Drummond Company, Inc.",Coal (Bituminous),33.5844,-87.1569
Bon Harbor Mine No 1,Abandoned,Alexander Jerry,R A Alexander Inc,Coal (Bituminous),37.8025,-87.1558
Jasonville Shop,Abandoned,Hanson PLC,Peabody Coal Company,Coal (Bituminous),39.1256,-87.1542
Portage Operation,Active,Carmeuse Holding SA,O-N Minerals Portage Company LLC,"Crushed, Broken Limestone NEC",41.639722,-87.153888
Morocco Sand and Gravel Inc,Intermittent,Kristopher J  Kosiba,Morocco Sand and Gravel Inc,Construction Sand and Gravel,41.056111,-87.153611
North Jackson Mine,Abandoned,Winn Jerry E,Winn Construction Company Inc,Coal (Bituminous),37.6025,-87.1536
Auger #2,Abandoned,Mc Cullough Earl,B & E Inc,Coal (Bituminous),37.6025,-87.1536
Plainville Mine,Abandoned,Kurt A  Jones,Jones & Sons Inc,Construction Sand and Gravel,38.806111,-87.152222
Caney Creek Mine,Abandoned,Andalex Resources B V,West Ken Coal Corp,Coal (Bituminous),37.3594,-87.1503
Caney Creek Prep Plant,Abandoned,Andalex Resources B V,West Ken Coal Corp,Coal (Bituminous),37.3594,-87.1503
Pumpkin Center Plant,Abandoned,MidAmerican Energy Holdings Company,Pacificorp Syn Fuel Llc,Coal (Bituminous),33.619167,-87.150278
Skelton Mine,Abandoned,Don  Foertsch,Foertsch Construction Company Inc,Coal (Bituminous),38.1,-87.15
Rainbow Mine,Abandoned,Gerald  Carr,Mc Cawith Energy Inc,Coal (Bituminous),39.710555,-87.149722
Babcock Quarry,Active,Heidelberg Cement AG,Hanson Material Service,"Crushed, Broken Limestone NEC",40.929444,-87.148055
Gilmore,Abandoned,TRU Energy Services LLC,C & H Mining Company Inc,Coal (Bituminous),33.5317,-87.1461
Old Hickory Tipple,Abandoned,Eder James,Log Cabin Coal Company,Coal (Bituminous),39.585,-87.1458
Benoit No 1,Abandoned,Capps Ronald,Benoit Coal & Clay Company Inc,Coal (Bituminous),33.7486,-87.1458
Oak Grove,Abandoned,Bowen Albert S,Blue Creek Mining Company Inc,Coal (Bituminous),33.4664,-87.1444
Shepherd Bend,New Mine,,"Shepherd Bend, LLC",Coal (Bituminous),33.686944,-87.142777
Deer Ridge,Abandoned,Peabody Energy; United Minerals Inc,United Minerals Company Llc,Coal (Bituminous),38.216111,-87.141111
Deer Ridge,Abandoned,Danny  Jasper,Danny Jasper Inc,Coal (Bituminous),38.2161,-87.1411
Maxine-Pratt Mine,Active,Ronald S  Bryant,Warrior Investments Company Inc,Coal (Bituminous),33.602222,-87.140556
Wilson Bend,Abandoned,Daryn  Bookout,Bookout Construction & Mining Corp,Coal (Bituminous),34.0189,-87.14
Oak Grove Mine,Active,Cliffs Natural Resources Inc,Oak Grove Resources LLC,Coal (Bituminous),33.442222,-87.138889
Browns Valley Mine,Abandoned,Winn Jerry E,Winn Construction Company Inc,Coal (Bituminous),37.6228,-87.1378
DON C. RUSHING,Active,Pat A  Yager,Yager Materials LLC,Construction Sand and Gravel,37.775833,-87.136666
Shannon Mine ,NonProducing,Twin Pines LLC,"Shannon, LLC",Coal (Bituminous),33.330833,-87.136111
Port Walker,Abandoned,Timothy L  McCoy,Alabama Land & Mineral Corp,Coal (Bituminous),33.7844,-87.1344
Brazil Mine Saline No 1,Abandoned,Harrison Fred,Brazil Coal & Clay Corp,Coal (Bituminous),39.3689,-87.1339
Praco No 7,Abandoned,Floyd Wade C,Floyd Mining Company Inc,Coal (Bituminous),33.6083,-87.1333
Bkw-River King Mine,Abandoned,Bland John & B J Kitchens,Bkw Enterprises Inc,Coal (Bituminous),33.5222,-87.1331
Horse Creek,Abandoned,Donald M  Baxter,"Horse Creek Mining, LLC",Coal (Bituminous),33.723333,-87.132777
Coal Creek Mine,Abandoned,Laguna Resources Inc,Walker Land & Mineral Corp,Coal (Bituminous),33.616666,-87.131944
DUDLEY RED #1,Active,Gerald  Cobern,Alabama Pigments Co LLC,Iron Ore,33.250555,-87.130833
Skelton Creek,Abandoned,Marable Dwayne,Marable Fuel Sales Inc,Coal (Bituminous),33.5978,-87.1297
Howesville Mine,Abandoned and Sealed,Brent K  Bilsland,Sunrise Coal LLC,Coal (Bituminous),39.171388,-87.129166
Cordell Creek Mine,Abandoned,Myers Jimmie & John Edward,Myers Coal Company,Coal (Bituminous),34.9956,-87.1264
