CURRENT_MINE_NAME,CURRENT_MINE_STATUS,CURRENT_CONTROLLER_NAME,CURRENT_OPERATOR_NAME,PRIMARY_SIC,latitude,longitude
No 3 Mine,Abandoned and Sealed,Stephen D  Halsey; Carl A  Hamilton,Mountaineer Coal Company Inc,Coal (Bituminous),36.9733,-82.4333
No 1,Abandoned and Sealed,Bartley Clinton,Ace Colliery Inc,Coal (Bituminous),37.5417,-82.4331
No 76 Mine,Abandoned and Sealed,Reese Chester-Danny & Teddy D,Big Branch Fuel Inc,Coal (Bituminous),37.3078,-82.4331
No 2 Mine,Abandoned and Sealed,Justus Donald,T & M Mining Inc,Coal (Bituminous),37.4328,-82.4328
No 31-E,Abandoned,Richard  Collett,Hi-Wall Mining Contractors Inc,Coal (Bituminous),37.3839,-82.4328
No 16,Abandoned,Vicki  Salyer,Elkhorn Crystal Inc,Coal (Bituminous),37.3839,-82.4328
No 21,Abandoned,Vicki  Salyer,Elkhorn Crystal Inc,Coal (Bituminous),37.3839,-82.4328
No 54,Abandoned,Richard  Collett,Hi-Wall Mining Contractors Inc,Coal (Bituminous),37.3839,-82.4328
Caney No 1 Mine,Abandoned,Bobby W  Hill,Caney Coal Inc,Coal (Bituminous),37.1494,-82.4328
Deep Mine #27a,Abandoned,Pittston Company,Paramont Coal Corp,Coal (Bituminous),37.0328,-82.4328
DC9,Abandoned,Vicki  Salyer,"Labco, LLC",Coal (Bituminous),37.450555,-82.432777
No 3,Temporarily Idled,James H  Booth,Apex Energy Inc,Coal (Bituminous),37.383888,-82.432777
No 3,Abandoned,James H  Booth,C.  W.  Augering Inc,Coal (Bituminous),37.383888,-82.432777
Lakeside Quarry,Active,Vulcan Materials Company,Vulcan Construction Materials LP,"Crushed, Broken Granite",34.771111,-82.432777
Mine #1 Refuse Pile,Abandoned,Slemp Jimmy,Red Man Trucking,Coal (Bituminous),36.9722,-82.4322
No 1,Abandoned and Sealed,Chris  Patton; Nicki  Patton,C & N Mining LLC,Coal (Bituminous),37.513056,-82.431944
No 2-Mine,Abandoned and Sealed,Lackett Gloria,Grethel Mining Company,Coal (Bituminous),37.6783,-82.4319
No 1,Abandoned,Crace Paris,Crace Elkhorn Coal Company Inc,Coal (Bituminous),37.5572,-82.4319
No 34 Mine,Abandoned and Sealed,Gary D  Fields,Fields Coal Company Inc,Coal (Bituminous),37.305,-82.4319
No 33,Abandoned and Sealed,Hawkins Edd,J & H Coal Company,Coal (Bituminous),37.2961,-82.4319
No 5,Abandoned and Sealed,Petot William-Walter C Slone,Action Energies Inc,Coal (Bituminous),37.4681,-82.4317
Washer Plant,Abandoned,Chris  Patton; Nicki  Patton,C & N Mining L L C,Coal (Bituminous),37.510277,-82.431111
No 1,Abandoned and Sealed,Burke F M & Faye E,Burke Elkhorn Mining Corp,Coal (Bituminous),37.4694,-82.4311
No 1 Mine,Abandoned and Sealed,Sanders Jim Bob,Sunshine Coal Company,Coal (Bituminous),37.2644,-82.4311
GOBCO #6,Abandoned,Jerry  Farmer; Bobby  Ketron,Mountain Fuels Inc.,Coal (Bituminous),36.985277,-82.430833
No 1 Mine (D),Abandoned and Sealed,Hawkins Edd,J & H Coal Company,Coal (Bituminous),37.2614,-82.4308
No 1 Tipple,Abandoned,Infinity Coal Corp,Citation Coal Corp,Coal (Bituminous),37.5556,-82.4306
No 2,Abandoned,Sloan Curtis & David Belcher,B & S Enterprises,Coal (Bituminous),37.4617,-82.4306
Caney #1 Strip,Abandoned,Garry W  Carroll,Garry Carroll Trucking Inc,Coal (Bituminous),37.0314,-82.4306
No 2,Abandoned and Sealed,Street Clifton,Street Contracting Inc,Coal (Bituminous),37.5544,-82.4303
#2 Strip,Abandoned,Burke Scotty,Triple B Mining Inc,Coal (Bituminous),36.9339,-82.4303
#1 Strip,Abandoned,Dotson Dexter,Dotson & Mullins Coal Company Inc,Coal (Bituminous),36.9339,-82.4303
TAMPA SALES YARD,Active,Vulcan Materials Company,"Vulcan Construction Materials, LP","Crushed, Broken Stone NEC",27.901944,-82.430277
#1 Surface,Abandoned,Mounts Lester,L & M Fuel Corp,Coal (Bituminous),37.8586,-82.43
No 1 Surface,Abandoned,Mounts Lester,Mary Mounts Coal Company Inc,Coal (Bituminous),37.8586,-82.43
Crockett Coal #5,Abandoned and Sealed,Davis Jerry M,Crockett Coal Company Inc,Coal (Bituminous),36.9642,-82.43
No 2,Active,James H  Booth,C W Augering Inc,Coal (Bituminous),37.428333,-82.429444
No. 6,Active,James H  Booth,Apex Energy Inc,Coal (Bituminous),37.428333,-82.429444
No 24,Active,James H  Booth,CW Augering Inc,Coal (Bituminous),37.428333,-82.429444
No 44,Abandoned,Richard  Collett,Hi-Wall Mining Contractors Inc,Coal (Bituminous),37.4283,-82.4294
Simp-A-Lex Inc,Abandoned,Jerry  Bentley,Simp-A-Lex Inc,Coal (Bituminous),37.4283,-82.4294
No 30 Mine,Abandoned and Sealed,Robinson Billy R & Jackie Coleman,Jackson Branch Coal Company,Coal (Bituminous),37.2836,-82.4294
Wellmore Plant No 16,Abandoned,United  Company,Wellmore Coal Corp,Coal (Bituminous),37.6511,-82.4289
No 1,Abandoned and Sealed,James L  Griffith,D & L Coal Inc,Coal (Bituminous),37.3181,-82.4286
No 19,Abandoned,Gary  Baker,Ivy Branch Coal Company Inc,Coal (Bituminous),37.0331,-82.4283
No 3 Mine,Abandoned,Bobby Gene  Yates,Triple Y Coal Corp,Coal (Bituminous),37.5592,-82.4281
#8,Abandoned and Sealed,Hawkins Edd,J & H Coal Company,Coal (Bituminous),37.2875,-82.4278
No 11-D Mine,Abandoned and Sealed,Childers Daniel G,Two Rose Coal Company Inc,Coal (Bituminous),37.2747,-82.4278
#1,Abandoned,Cecil  Nichols,Apple Jacks Coal Company Inc,Coal (Bituminous),37.0375,-82.4278
No 1,Abandoned and Sealed,Shell Oil Company,Peter Cave Coal Company,Coal (Bituminous),37.8106,-82.4275
1,Abandoned and Sealed,Bowling Charles-Rodney Tackett,Firestone Mining Inc,Coal (Bituminous),37.3772,-82.4272
1,Abandoned and Sealed,,Firestone Mining Inc,Coal (Bituminous),37.3772,-82.4272
No 35,Abandoned and Sealed,Childers Lawrence W,Lee West Coal Company Inc,Coal (Bituminous),37.1947,-82.4269
Elkhorn No 1 Mine,Abandoned and Sealed,Blair Ernest,Blair Coal Company Inc,Coal (Bituminous),37.5717,-82.4267
No 133 Mine,Abandoned and Sealed,Adkins Morgan D & Roger D--James W Blackburn,Double A & B Coal Company,Coal (Bituminous),37.3033,-82.4267
No 135 Mine (D),Abandoned and Sealed,Adkins Rowan,Double R Coal Company,Coal (Bituminous),37.3033,-82.4267
No 1 Strip,Abandoned,Bolling John W,Lonesome Pine Energy Company Inc,Coal (Bituminous),37.1819,-82.4264
Calcium Plant ,Active,Vulcan Materials Company,Florida Rock Industries Inc,"Crushed, Broken Limestone NEC",28.637222,-82.426388
No 5,Abandoned and Sealed,Hawkins Edd,J & H Coal Company,Coal (Bituminous),37.2942,-82.4261
No 1 Mine,Abandoned and Sealed,Turner Darlene Harrison,D & D Coal Company Inc,Coal (Bituminous),37.1911,-82.4261
TRI-CITIES AIRPORT QUARRY,Active,Aggregates USA Holdings LLC,Aggregates USA LLC,"Crushed, Broken Limestone NEC",36.496111,-82.425833
Florida Power Development LLC,Active,Delta Power,"DPS Florida, LLC",Cement,28.588611,-82.425833
Brooksville South Cement Plant,Active,Cemex S A,Cemex Construction Materials of Florida LLC,Cement,28.588611,-82.425833
No 3 Mine (D),Abandoned and Sealed,Blackburn Lawyer,Roadside Coal Company Inc,Coal (Bituminous),37.6561,-82.4256
No 1 Mine,Abandoned and Sealed,Hess Jimmie Leon,Big Buck Mining Of Kentucky Inc,Coal (Bituminous),37.5547,-82.4256
No 1,Abandoned and Sealed,Hess Jimmie Leon,Big Buck Coal Company Inc,Coal (Bituminous),37.5533,-82.4256
Rf 4,Abandoned and Sealed,Sloan Curtis & David Belcher,Old South Mining Corp,Coal (Bituminous),37.2803,-82.4256
Trace Fork #3,Abandoned,Woodrow W  Church; William H  Sanders III,Miracle Mining Inc,Coal (Bituminous),37.031111,-82.425556
No 2-Mine,Abandoned and Sealed,Nick A  Cooley,Hunts Branch Coal Company Inc,Coal (Bituminous),37.5644,-82.4253
Strip #4,Abandoned,Fuller Rual,Scott Fuel Company Inc,Coal (Bituminous),37.2308,-82.4253
STONECOAL,NonProducing,Dennis  Johnson,"APPALACHIAN MINING & RECLAMATION, LLC",Coal (Bituminous),37.883056,-82.425
No 1 Auger,Abandoned,Edmonds Billy & Brian,Edmonds Augering,Coal (Bituminous),37.2308,-82.425
Mine #1,Abandoned,Fuller Rual,Meadow Branch Coal Company Inc,Coal (Bituminous),37.2306,-82.425
No 7 Strip,Abandoned,Meade Vester-Clifford Davis,Mountain Enterprises Coal Company Inc,Coal (Bituminous),37.2083,-82.425
No 4 Mine,Abandoned and Sealed,Davis Jerry M,Crockett Coal Company Inc,Coal (Bituminous),36.9625,-82.425
No 1,Abandoned and Sealed,Easterly Bernard,East-Hub Coal Company Inc,Coal (Bituminous),37.4767,-82.4242
No 2 Mine (D),Abandoned and Sealed,Mc Peek Jerry,Coal Branch Coal Company Inc,Coal (Bituminous),37.4767,-82.4239
No 1,Abandoned and Sealed,Blair Rodney,E & R Coal Company Inc,Coal (Bituminous),37.4767,-82.4239
No 3 Mine,Abandoned and Sealed,Potter & Salyers Coal Company,Potter & Salyers Coal Company,Coal (Bituminous),37.6119,-82.4236
Mine No 1,Abandoned and Sealed,Ronnie  Thacker; Freddy  Thacker,Wolf Branch Collieries Inc,Coal (Bituminous),37.6119,-82.4236
No 2 Mine (D),Abandoned and Sealed,Hawkins Edd,J & H Coal Company,Coal (Bituminous),37.2608,-82.4236
Mine No 1,Abandoned and Sealed,Noah B  Lambert,L & M Coal Company Inc,Coal (Bituminous),37.0072,-82.4236
St Louisville Plant,Active,CRH PLC,Shelly Materials Inc,Construction Sand and Gravel,40.1525,-82.423333
No 4 Mine,Abandoned and Sealed,Hawkins Edd,J & H Coal Company,Coal (Bituminous),37.2647,-82.4233
No 1 Surface,Abandoned,Waynebern Carl,Coal Resources International Inc,Coal (Bituminous),37.6086,-82.4231
St. Louisville Plant,Active,Olen Corporation,The Olen Corporation,Construction Sand and Gravel,40.185555,-82.423055
Trace Fork #2,Abandoned,Turner Fran E,Turner Mining Inc,Coal (Bituminous),37.1494,-82.4228
Harlan #1,Abandoned and Sealed,Davis Jefferson B,J B D Mining Company Inc,Coal (Bituminous),36.7269,-82.4225
No 1 Mine (D),Abandoned and Sealed,Ronnie  Thacker; Freddy  Thacker,Thacker Brothers Mining Company,Coal (Bituminous),37.6164,-82.4222
Dickenson Dock,Abandoned,Hamilton Gary & James D,Herrco Mining Company Inc,Coal (Bituminous),37.1458,-82.4222
Pilot Mine,Abandoned and Sealed,Lawson John & Truman,Little David Coal Company Inc,Coal (Bituminous),36.9236,-82.4222
No 6 Mine (D),Abandoned and Sealed,Bartley Gobel,Bartley & Bartley Coal Company,Coal (Bituminous),27.2819,-82.4222
Clark No 5 Tipple,Abandoned,Massey Energy Company,Clark Elkhorn Coal Company Inc,Coal (Bituminous),37.3558,-82.4219
No 3 Mine,Abandoned and Sealed,Coleman Branson,Ike Coal Company Inc,Coal (Bituminous),37.4781,-82.4217
Hwm Job #14,Abandoned,Horizon Natural Resources Incorporated,Addington Enterprises Inc,Coal (Bituminous),37.7567,-82.4214
Primary Energies Corporation,Abandoned and Sealed,John  Harris,Primary Energies Corp,Coal (Bituminous),37.47,-82.4214
17-West Preparation Plant,Abandoned,Lexington Coal Company LLC,LCC Kentucky LLC,Coal (Bituminous),37.756666,-82.421388
Plant #1,Temporarily Idled,Billy (Joe)  Deel,"Warfield Processing, Inc",Coal (Bituminous),37.853611,-82.421111
Mine #1,NonProducing,Plains Capital Equity LLC; William H  Murphy,WHM Mine Operating LLC,Coal (Bituminous),37.853056,-82.421111
No 141,Abandoned and Sealed,Adkins Rowan,Double R Coal Company,Coal (Bituminous),37.3125,-82.4208
No 142 Mine,Abandoned and Sealed,Adkins Rowan,Double R Coal Company,Coal (Bituminous),37.3122,-82.4208
No 2,Abandoned and Sealed,Crace Paris,Crace Elkhorn Coal Company Inc,Coal (Bituminous),37.5939,-82.4206
No 1 Mine,Abandoned and Sealed,George  Newsom,G & E Coal Company,Coal (Bituminous),37.4847,-82.4206
No 7-A Mine,Abandoned and Sealed,Leonard  Hall,L H Hall Coal Company Inc,Coal (Bituminous),37.4678,-82.4203
No 2 Mine,Abandoned and Sealed,Lester James E,New Leaf Coal Company Inc,Coal (Bituminous),37.2883,-82.4203
No 1 Mine,Abandoned and Sealed,Reece Charles,Little R Coal Company Inc,Coal (Bituminous),36.9742,-82.4203
No 1 Crusher,Abandoned,Hammel Joseph S,Supreme Fuels Inc,Coal (Bituminous),37.6208,-82.42
No 8 Mine,Abandoned and Sealed,Bartley Gobel,Bartley & Bartley Coal Company,Coal (Bituminous),37.2772,-82.4197
R & S Strip,Abandoned,Eberts Roger,R & S Coal Company Inc,Coal (Bituminous),9.1503,-82.4197
Green Strip,Abandoned,Green Wayne,Green & Burritt Coal Company,Coal (Bituminous),39.0181,-82.4194
#1 Surface,Abandoned,Dunn Mervin,Town Hill Coal Company Inc,Coal (Bituminous),37.5861,-82.4194
Ratliff Elkhorn Tipple No 1,Abandoned,Shell Oil Company,Ratliff Elkhorn Coal Company,Coal (Bituminous),37.3356,-82.4194
No 4 Mine,Abandoned and Sealed,Blevins Blake,Art Coal Co Inc,Coal (Bituminous),37.285,-82.4194
No 7 Mine,Abandoned and Sealed,Swiney Donald,Hawkins & Swiney Coal Company,Coal (Bituminous),37.2781,-82.4189
Guest Mountain Mine No 2,Abandoned and Sealed,"Alpha Natural Resources, Inc.","Paramont Coal Company Virginia, LLC",Coal (Bituminous),36.975833,-82.418611
No 1 Auger,Abandoned and Sealed,Barry  Runyon; Brian A  Runyon,K-Jac Energy Inc,Coal (Bituminous),37.7389,-82.4186
Spring Ridge Coal Inc #1,Abandoned and Sealed,Noah B  Lambert,Spring Ridge Coal Inc,Coal (Bituminous),36.9992,-82.4183
Mine No 2,Abandoned and Sealed,Francis Conrad,Little Rosie Coal Company Inc,Coal (Bituminous),37.6747,-82.4181
Preparation Plant No 1,Abandoned,Tannen Al,Environmental Coal Processing Systems Of Va Ltd,Coal (Bituminous),37.1583,-82.4181
Mark Plant,Abandoned,Pittston Company,Vantage Mining Company,Coal (Bituminous),37.8839,-82.4175
Surface Refuse,Abandoned,Kinder Michael David,Kinder Coal,Coal (Bituminous),37.5256,-82.4169
No 1 Tipple,Abandoned,Epling Phillip K,Quality Fuel Inc,Coal (Bituminous),37.3589,-82.4169
Rooster Run Mine,Abandoned,O'Brien Pat,Puckett Coal Company,Coal (Bituminous),39.0583,-82.4167
No 8,Abandoned,Vicki  Salyer,Elkhorn Crystal Inc,Coal (Bituminous),37.405,-82.4167
No 36,Abandoned,Richard  Collett,Hi-Wall Mining Contractors Inc,Coal (Bituminous),37.405,-82.4167
No 1 Mine,Abandoned and Sealed,Dennis  Ratliff; Timmy  Ratliff,A & R Coal Corp,Coal (Bituminous),37.3739,-82.4167
No 131 Mine,Abandoned and Sealed,Collins Goebel,Collins Coal Company,Coal (Bituminous),37.3169,-82.4167
#1 Plant,Abandoned,Bolling Cecil W,Dickenson Enterprises Inc,Coal (Bituminous),37.125,-82.4167
Wheelersburg Dock,Abandoned,Lafarge Coppee,Standard Lafarge,Coal (Bituminous),39.45,-82.416667
Johnson Mine,Abandoned and Sealed,Johnson Cirby W & Lyne B,C & L Mining Company,Coal (Bituminous),39.083333,-82.416667
No 1 Mine,Abandoned and Sealed,Wiley Danny,W W Wiley Coal Corp,Coal (Bituminous),38.25,-82.416667
No 1 Surface,Abandoned,Lockhart John W,Middle Fork Corp,Coal (Bituminous),37.666667,-82.416667
No 3 Mine,Abandoned,Deel Nubern-William,Triple D Coal Company,Coal (Bituminous),37.333333,-82.416667
No 2 Mine,Abandoned,Fletcher Sylvan,Howell Branch Coal Company Inc,Coal (Bituminous),37.166667,-82.416667
Coal Mac #64 Surface,Abandoned,Arch Coal Inc,Coal Mac Inc,Coal (Bituminous),37.4025,-82.4156
No 1 Mine,Abandoned and Sealed,Carl  Kirk,Carrie Coal Company Inc,Coal (Bituminous),37.7744,-82.4153
No 1 Mine,Abandoned and Sealed,Kirk George E,Tara Coal Company Inc,Coal (Bituminous),37.7742,-82.4153
Mine #16,NonProducing,Opes Resources Inc,McCoy Elkhorn Coal Co.,Coal (Bituminous),37.5575,-82.415278
Bevins Branch Preparation Plant,Active,Opes Resources Inc,McCoy Elkhorn Coal Co.,Coal (Bituminous),37.556111,-82.415
Smith Gap Mine,Abandoned and Sealed,Pittston Company,Clinchfield Coal Company,Coal (Bituminous),37.0664,-82.415
No 7 Mine,Abandoned and Sealed,Bartley Gobel,Bartley & Bartley Coal Company,Coal (Bituminous),37.275,-82.4144
Deep Mine #23,Abandoned,Pittston Company,Paramont Coal Corp,Coal (Bituminous),37.1808,-82.4142
No 1 Tipple,Abandoned,Kazee Harold,Little Sandy Coal Sand & Gravel,Coal (Bituminous),38.2764,-82.4139
No 2 Strip,Abandoned,Barr Robert S,R S B Mining Inc,Coal (Bituminous),37.1917,-82.4139
No 19 Mine,Abandoned and Sealed,Moore Vernoy,Bullion Hollow Coal Company Inc,Coal (Bituminous),36.9639,-82.4139
No 1 Strip Mine,Abandoned,Palmer Bernard,M E Coal Company,Coal (Bituminous),36.9642,-82.4136
No 5,Abandoned and Sealed,Carl  Kirk,Amber Coal Company Inc,Coal (Bituminous),37.7792,-82.4133
No 1,Abandoned,Shrum Eddie,Day Star Mining Inc,Coal (Bituminous),37.6094,-82.4133
Mine #15,Active,Opes Resources Inc,McCoy Elkhorn Coal Co.,Coal (Bituminous),37.553611,-82.413056
Mine #15A,Temporarily Idled,Opes Resources Inc,McCoy Elkhorn Coal Co.,Coal (Bituminous),37.554444,-82.412778
Ingram Surface,Abandoned,Bizzack John,Bizzack Brothers Construction Corp,Coal (Bituminous),37.5467,-82.4122
Hendersonville ,Active,Vulcan Materials Company,"Vulcan Construction Materials, L.P.","Crushed, Broken Granite",35.386859,-82.412081
No 3 Surface,Abandoned,Shell Oil Company,Ratliff Elkhorn Coal Company,Coal (Bituminous),37.3425,-82.4119
No 1 Auger,Abandoned,David F  May,D F M Inc,Coal (Bituminous),37.4075,-82.4117
No 1 (D),Abandoned and Sealed,Belcher Jerry B,Blue Pond Mining Inc,Coal (Bituminous),37.6067,-82.4114
No 4,Abandoned,Richard E  Salyer,Inferno Coals Inc,Coal (Bituminous),37.6056,-82.4114
No 4,Abandoned and Sealed,Kenneth  Rowe,Levisa Coal Inc,Coal (Bituminous),37.3425,-82.4114
No 1 Mine,Abandoned and Sealed,Cline John Larry,Mary F Coal Company Inc,Coal (Bituminous),37.7708,-82.4111
No 4 Mine,Abandoned and Sealed,Carl  Kirk,Amber Coal Company Inc,Coal (Bituminous),37.7814,-82.4106
Coal-Mac #66 Surface,Abandoned,Arch Coal Inc,Coal Mac Inc,Coal (Bituminous),37.295,-82.4106
Mine No 1,Abandoned,Joby  Fields,Black Diamond Coal Corp,Coal (Bituminous),37.6669,-82.4103
No 8 Mine,Abandoned and Sealed,Harold E  Akers; Jim D  Akers,A A & W Coals Inc,Coal (Bituminous),37.5933,-82.4103
No 1 Surface,Abandoned,Donald E  Ratliff,Big Coon Coal Company,Coal (Bituminous),37.4719,-82.4103
E I S No 1,Abandoned,Raschella Catherine B,Energy & Investment Solutions Inc,Coal (Bituminous),37.6383,-82.41
No 20,Abandoned,Bill J  Collett,R V Mining Company Inc,Coal (Bituminous),37.4103,-82.41
Wrens Plant,Active,IMin Partners,KaMin LLC,Common Clays NEC,33.27146,-82.409696
#1 Strip,Abandoned,Burke Dennis E,Three Forks Mining Inc,Coal (Bituminous),37.0197,-82.4094
No 7-A Mine (D),Abandoned and Sealed,United  Company,Wellmore Coal Corp,Coal (Bituminous),37.3694,-82.4092
No 7 Mine,Abandoned and Sealed,Harold E  Akers; Jim D  Akers,A A & W Coals Inc,Coal (Bituminous),37.5908,-82.4086
Bevins Branch Surface Mine,Active,James C  Justice II,Kentucky Fuel Corporation,Coal (Bituminous),37.558333,-82.408333
G-2 Auger,Abandoned,David A  Betscher,"WCA Coal Augering, Inc.",Coal (Bituminous),37.558333,-82.408333
Highwall Miner #1,Abandoned,John  Harris,Pikeco Miners Inc,Coal (Bituminous),37.5583,-82.4083
Dickenson Dock,Abandoned,Gott Jim,H & G Enterprises Inc,Coal (Bituminous),37.1417,-82.4083
Dock No 1,Abandoned,Nicewonder J D,Hillside Dock Company,Coal (Bituminous),37.125,-82.4083
No 29 Mine,Abandoned and Sealed,Coleman Elmer,Jackson Branch Coal Company,Coal (Bituminous),37.2953,-82.4081
Mine No 1 Strip,Abandoned,Horne Douglas N,Horne Brothers Mining Company Inc,Coal (Bituminous),37.1236,-82.4078
Mine #4,Active,Alliance Resource Partners LP,"Excel Mining, LLC.",Coal (Bituminous),37.549722,-82.4075
Plant # 8,Active,Shelly & Sands Inc,S & S Aggregate,Construction Sand and Gravel,39.54,-82.407222
Lick Branch Strip,Abandoned,James River Coal Company,James River Coal Service Company,Coal (Bituminous),37.549722,-82.407222
No 1 Mine,Abandoned and Sealed,Childers Spencer & Wesley,T & W Coal Company Inc,Coal (Bituminous),37.625,-82.4067
Renfro Strip,Abandoned,Carroll Wiley,C & K Coal Company Inc,Coal (Bituminous),36.9136,-82.4064
White Oak South,Abandoned,"Alpha Natural Resources, Inc.",Martin County Coal Corp,Coal (Bituminous),37.740833,-82.406389
H-1,Active,Jeffery A  Hoops,"Revelation Energy, LLC.",Coal (Bituminous),37.740833,-82.406389
S-18 Seng Branch,Active,Jeffery A  Hoops,"Revelation Energy, LLC",Coal (Bituminous),37.740833,-82.406389
No 2 Surface,Abandoned,Raschella Alfred W,Raschella Coal Corp,Coal (Bituminous),37.5981,-82.4056
No 10 Auger,Abandoned,Banks Eugene,Banks Augering Contracting Inc,Coal (Bituminous),37.5981,-82.4056
No 3 Mine,Abandoned and Sealed,Roger  Coleman,Big Fist Coal Company,Coal (Bituminous),37.3747,-82.4056
No 1,Abandoned and Sealed,Swiney Donald,Donald Swiney Mining Inc,Coal (Bituminous),37.3014,-82.4056
No 4,Abandoned,Barton Delmar,Westwood Coal Company,Coal (Bituminous),37.0417,-82.4056
No 1 Mine,Abandoned and Sealed,Francis Conrad,Little Rosie Coal Company Inc,Coal (Bituminous),37.8039,-82.4053
No 2,Abandoned and Sealed,John F  Stapleton,Gillette Coal Corp,Coal (Bituminous),37.5467,-82.4053
No 7,Abandoned and Sealed,Dennis  Ratliff; Timmy  Ratliff,A & R Coal Corp,Coal (Bituminous),37.4103,-82.405
No 11,Abandoned,Vicki  Salyer,Elkhorn Crystal Inc,Coal (Bituminous),37.2978,-82.405
Mine No 10,Abandoned and Sealed,Nick A  Cooley,Premium Elkhorn Coal Corp,Coal (Bituminous),37.4361,-82.4044
No 9 Mine,Abandoned and Sealed,Massey Energy Company,Wolf Creek Collieries Company Inc,Coal (Bituminous),37.8047,-82.4042
No 1,Abandoned,Diane  Blankenship,Crystal Colleries Inc,Coal (Bituminous),37.6578,-82.4042
