CURRENT_MINE_NAME,long_false,latitude,longitude
WP-5,101.295555,48.2325,-101.295555
WP-2,94.194444,46.357222,-94.194444
WP2,108.6325,39.099167,-108.6325
WP-1,94.194444,46.357222,-94.194444
WP1,108.6325,39.099167,-108.6325
WP #1,94.470555,45.73,-94.470555
Worthville Mine,79.9775,40.943611,-79.9775
Worland Wash Plant ,107.290278,43.075833,-107.290278
WORLAND PLANT,107.910555,44.027777,-107.910555
Workman Creek Surface,81.373611,37.896111,-81.373611
"Wooten Sand & Gravel, Inc.",93.885459,33.261239,-93.885459
Wooster Plant,81.935277,40.805,-81.935277
Woodworth Aggregates ,92.506111,31.181388,-92.506111
Woodway Stone Co,78.656944,37.431666,-78.656944
Woodville Plant,83.3575,41.445,-83.3575
Woodstock-2,87.0825,33.291944,-87.0825
Woodstock Sand and Gravel,71.685913,43.992651,-71.685913
Woodside Quarry,116.525833,48.370278,-116.525833
Woodsdale Quarry,78.968056,36.510833,-78.968056
Woods Bay Sand & Gravel I,114.05,48.001388,-114.05
Woods,81.406111,32.251944,-81.406111
Woodruff Wash Plant,88.787868,43.78444,-88.787868
Woodleaf Quarry,80.598888,35.773611,-80.598888
Woodlawn Quarry,82.036204,35.7873,-82.036204
Woodlands Plant,95.390173,30.174105,-95.390173
Woodland Plant,121.849722,38.6925,-121.849722
Woodland Plant,74.522777,39.773333,-74.522777
Woodgate Sand & Gravel,43.502778,75.157222,-43.502778
WOODBURY QUARRY,72.411944,44.441388,-72.411944
Woodbury Mine,92.883055,44.939722,-92.883055
Woodburn II,84.845833,41.074166,-84.845833
Woodbourne Materials Woodburne Plt Rt42,74.587222,41.781667,-74.587222
Wood Wise Quarry,75.280555,41.953888,-75.280555
Wood Quarry,82.09,40.708611,-82.09
Wood Materials - Harahan,90.209212,29.920305,-90.209212
WOOD MATERIALS,90.228888,29.943055,-90.228888
Wood Business Park Quarry  ,105.185555,35.652222,-105.185555
Wolverine Loadout (T-4),83.419444,37.561111,-83.419444
Wolff Pit,99.901944,31.968611,-99.901944
WOLFE SAND & GRAVEL PIT,99.901944,41.4925,-99.901944
Wolf Point Sand & Gravel,105.642777,48.091666,-105.642777
Wolf Pit,149.299722,61.572222,-149.299722
Wolf Den Run Mine,79.244167,39.423611,-79.244167
WOLF CREEK SAND & GRAVEL,93.436111,34.022777,-93.436111
Wolf Creek Quarry,99.140319,30.047433,-99.140319
Wolf Creek,96.199444,33.616111,-96.199444
Wm. J. Schwartz & Sons Crusher,93.458889,47.413333,-93.458889
WKY Portable Plant #1,88.141111,37.346111,-88.141111
Wittichen Stephen Plants,84.435833,32.555555,-84.435833
Witherspoon Sand Plant,81.376944,26.819722,-81.376944
Witcher Creek Surface Mine,81.475,38.282778,-81.475
"WISTER BEN, WARD #1, BIG HILL #1, & #2",94.724722,34.967222,-94.724722
"Wissota Sand & Gravel, Rugby Pit",88.223889,43.29,-88.223889
Wissahickon Quarry,75.184444,40.089444,-75.184444
Wiseman Sullins/Chalk,82.012645,35.891799,-82.012645
Wise/Hellberg Pit,119.526388,45.895833,-119.526388
Wisconsin Rose Red,89.513333,45.041388,-89.513333
Wiregrass Construction Skyline Quarry,86.100277,34.8475,-86.100277
Wipperman Pit  & Plant,96.936388,46.042222,-96.936388
WINTON PIT & MILL,120.596944,37.459722,-120.596944
Winthrop Pit & Plant,120.179817,48.468151,-120.179817
Winterport Pit,68.863902,44.659686,-68.863902
Winston Realty,111.66358,46.459467,-111.66358
"Winston Quarry, Inc.",122.556388,46.510833,-122.556388
WINSTED QUARRY,73.049167,41.964167,-73.049167
Winona Quarry,91.707222,44.057777,-91.707222
Winona Aggregate,91.727222,44.078888,-91.727222
Winoc Preparation Plant,81.028333,38.386667,-81.028333
Winningham Quarry,85.033611,35.831666,-85.033611
Winn Rock LLC,92.680513,31.919536,-92.680513
Winn Materials LLC,87.400261,36.53753,-87.400261
Winkelman,84.269722,44.884166,-84.269722
Winifrede Dock ,81.520556,38.210833,-81.520556
Winifrede 18 Mine,81.653889,37.908611,-81.653889
WINGO PIT,88.832222,36.635833,-88.832222
WINGDALE MINE,73.592778,41.643889,-73.592778
Wingate Creek Mine,82.124166,27.4975,-82.124166
Winfield South Strip,95.146944,33.161667,-95.146944
Winfield Quarry ,96.625895,37.244003,-96.625895
Winfield North Strip,95.096667,33.190278,-95.096667
Windsor Rock Products,123.050837,45.043313,-123.050837
Windsor Pit,69.591666,44.313055,-69.591666
Windmillgap Surface Mine,37.386667,81.350556,-37.386667
Windmill,93.168572,44.609035,-93.168572
Windham Quarry,76.316944,41.909444,-76.316944
Windham Materials LLC,72.090555,41.680277,-72.090555
Winchester Plant ,78.089166,39.252777,-78.089166
Winchester Mine,81.464444,38.058333,-81.464444
Winchester East,88.721078,44.232442,-88.721078
Winchell,100.935555,36.835,-100.935555
Wimme Pit,89.426388,44.449444,-89.426388
Wilton Pit,71.764444,42.823333,-71.764444
WILTGEN PORTABLE WASH PLANT #1,93.097777,41.878055,-93.097777
WILTGEN PORT. PLANT #1,93.097777,41.878055,-93.097777
Wilson Sand & Gravel,72.553888,43.236111,-72.553888
Wilson Quarry,84.990833,35.8525,-84.990833
Wilson Pit,78.210285,43.207737,-78.210285
Wilson Mine,82.300961,35.917336,-82.300961
Wilson Deep Mine #1,82.869167,36.879722,-82.869167
Wilson Creek Surface Mines,79.056944,40.117222,-79.056944
Wilson Creek HWM #1,79.055556,40.116111,-79.055556
Wilson  County Quarry,86.318055,36.141388,-86.318055
Wilsey Ranch Quarry ,119.417932,36.778261,-119.417932
Wilmington Plant,75.534267,39.711908,-75.534267
Wilmington Materials,77.971719,34.283238,-77.971719
Willy Pit,108.8675,44.723056,-108.8675
Willsboro Mine (Fox Knoll),73.448611,44.331111,-73.448611
Wills Point II Plant #1655,96.101667,32.649722,-96.101667
Wills Point ,96.008333,32.709167,-96.008333
Willowbrook Sand & Gravel LLC,80.735,40.766388,-80.735
WILLOW SPRINGS QUARRY,91.831833,37.964253,-91.831833
WILLOW RUN QUARRY,81.686944,26.121944,-81.686944
Willow Lake Central Preparation Plant,88.390555,37.765833,-88.390555
Willow Creek Portable Crusher,123.641111,40.979444,-123.641111
Willow Creek Canyon Pit,111.5825,39.3275,-111.5825
Willow Creek Aggregate,122.976389,42.383889,-122.976389
WILLISTON WASH PLANT,99.936389,47.768889,-99.936389
Willisneck #1 Mine,77.154119,35.308495,-77.154119
Willis Sand & Gravel,90.355328,14.056038,-90.355328
Willis Portable,96.853056,34.448333,-96.853056
Willis Mt Plant & Mullite Plant,78.467051,37.480612,-78.467051
Willis Creek Rock,123.398055,43.075277,-123.398055
WILLIAMSVILLE STONE CO,90.406389,36.763056,-90.406389
Williamstown Mine #1,76.586666,40.594722,-76.586666
"Williamsport Plant, The Melvin S",83.221944,39.609444,-83.221944
Williams Sandpit,91.535555,41.612777,-91.535555
Williams Quarry,85.295555,37.121111,-85.295555
WILLIAMS PIT,121.575833,36.878333,-121.575833
Williams Pit,79.654722,35.148888,-79.654722
Williams Pit,76.110555,43.788611,-76.110555
Williams Family Stone Quarry #1,85.368333,36.419722,-85.368333
WILLIAMS EXCAVATING INC. MOORE R,85.6025,44.314722,-85.6025
Williams 1,80.326667,39.416667,-80.326667
Williams,68.497519,44.772422,-68.497519
William L Price Dredge #16,80.289444,40.691388,-80.289444
William Coon & Son,72.048055,41.513055,-72.048055
Willet Mine,75.94243,42.414837,-75.94243
"Willard Quarries, Inc.-St Robert Mo",92.115555,37.821666,-92.115555
Willard Quarries - Hancock  ,92.263889,37.948889,-92.263889
WILLAMETTE RIVER,122.780277,45.298333,-122.780277
Wilkinson Quarry,122.859444,44.558611,-122.859444
WILKINSON PIT,111.093731,39.32098,-111.093731
Wilkeson Sandstone Quarry LLC,122.030833,47.105278,-122.030833
Wilkes County Quarry,82.624164,33.886739,-82.624164
Wilkes Barre Materials 315 QUARRY ,75.803611,41.278055,-75.803611
WILKERSON EXCAVATING INC,91.831833,37.964253,-91.831833
"WILKERSON BROS. QUARRY, INC.",91.94978,39.507132,-91.94978
Wiliam D Patty Mine #1,85.308924,34.537993,-85.308924
Wilgar Refuse Pile,82.472778,37.294722,-82.472778
Wildish Sand & Gravel Co Plant #2,123.066666,44.11,-123.066666
WILDHORSE #4,94.556666,34.391666,-94.556666
WildHorse,94.800278,35.109167,-94.800278
Wilde Gravel,97.377222,44.366666,-97.377222
Wildcat Surface Mine,81.526111,38.101111,-81.526111
Wildcat Quarry,122.791944,47.594444,-122.791944
Wildcat Loadout,110.918056,39.649722,-110.918056
Wildcat Hills Mine-Underground,88.389167,37.773889,-88.389167
Wildcat Hills Mine - Cottage Grove Pit,88.333333,37.666666,-88.333333
Wild Rose Quarry,123.423611,44.609722,-123.423611
"Wild Horse Quarries, Inc.",94.724673,34.967321,-94.724673
Wild Goose,150.633888,65.001111,-150.633888
Wild Branch Stone,107.536388,39.572777,-107.536388
Wild Boar Mine,87.279722,38.178333,-87.279722
Wild Acres Pit,94.261111,46.631666,-94.261111
Widen No. 1 Underground Mine,80.733889,38.399444,-80.733889
Wicki Portable Screen,73.604722,42.645555,-73.604722
WICHITA SAND PLANT,97.389069,37.622314,-97.389069
Wichita Sand and Gravel,97.388909,37.781624,-97.388909
Whitney Plant (UG),79.380555,40.227777,-79.380555
WHITNEY,97.3575,31.833888,-97.3575
Whitley-Hawkins Holdings LLC Pit,76.906388,36.693055,-76.906388
Whitey Strip,76.330277,40.648333,-76.330277
Whitewater Quarry,83.0075,35.087222,-83.0075
Whitewater #81,108.471667,38.996111,-108.471667
Whitewater #71,108.505833,39.062778,-108.505833
Whitetail Preparation Facility,79.815278,39.345556,-79.815278
WHITETAIL,94.800233,35.109081,-94.800233
Whites Creek Plant & Quarry,86.811175,36.228593,-86.811175
White Stone Company,86.460556,37.78,-86.460556
White Sands Mining Co.,85.9375,38.130277,-85.9375
"White Sand & Gravel, Inc.",86.222777,39.658611,-86.222777
WHITE ROCK SILICA SAND COMPANY INC.,80.357777,41.380277,-80.357777
White Rock Quarry,83.368333,41.569722,-83.368333
White Rock Quarry,71.839066,41.396976,-71.839066
White Rock Quarries - South,80.388888,25.811944,-80.388888
WHITE ROCK QUARRIES,80.398333,25.938611,-80.398333
White Rock 1,90.818055,39.125555,-90.818055
White River Quarry,121.999722,47.193611,-121.999722
White River Pit,72.369722,43.678333,-72.369722
"White River Gravel Co., Inc.",86.269803,39.596491,-86.269803
WHITE QUARRY,118.015278,48.788889,-118.015278
White Pit Wash Plant,100.292777,48.605555,-100.292777
White Pit Crusher,101.001944,47.551388,-101.001944
White Oaks Sand & Gravel,90.710556,35.249167,-90.710556
White Oak Mine No. 1,88.601667,38.171111,-88.601667
White Mesa Mill ,109.478056,37.573889,-109.478056
White Mesa,106.595833,35.170833,-106.595833
WHITE MARBLE MINE,104.8475,31.428611,-104.8475
White Hills Quarry,114.310833,35.799444,-114.310833
White Haven Plant-White Haven Red Rock S,75.714651,39.749149,-75.714651
White Eagle Sand & Stone,75.5225,42.700277,-75.5225
White Cross Mine,110.640833,32.706944,-110.640833
White Creek Pit,73.335499,42.953949,-73.335499
White Creek Mine,148.950833,63.391667,-148.950833
White City Plant,86.902222,32.318333,-86.902222
White Caps Mill,116.769167,36.884722,-116.769167
White Bear Mica Plant,102.518055,36.836388,-102.518055
White 1,101.656944,32.113055,-101.656944
White #1,76.338333,40.767778,-76.338333
Whitaker Aggregates Cedar Vale Quarry,96.450343,37.079236,-96.450343
Whiskey CR Plant,123.765833,45.442222,-123.765833
WHETSTONE MAHOGANY QUARRY,96.516389,45.208889,-96.516389
Whetstone,84.766389,36.75,-84.766389
Whetrock Inc,95.091667,39.7875,-95.091667
Wheeler-Hagen Rock Quarry,123.785833,40.208055,-123.785833
Wheeler Ridge Plant,118.975833,35.060833,-118.975833
Wheeler Rd. Quarry,88.920278,42.189167,-88.920278
Wheeler Pit,85.257777,43.137777,-85.257777
Wheeler County Mobile,119.932222,44.863056,-119.932222
Wheaton Quarry,76.105,41.73,-76.105
Whatcom Portable Mill,122.185555,47.996944,-122.185555
Wharton No 1 Tunnel,81.681389,37.918611,-81.681389
Whale Rock Quarry,120.861962,35.452436,-120.861962
WFI,88.7,37.791667,-88.7
Weyrick Plant,120.654722,35.472222,-120.654722
Weyerhaeuser/Air Base Plant,88.454444,33.608333,-88.454444
Wexford Sand,85.756667,44.323611,-85.756667
Wetherell Sand & Gravel Inc.,95.299166,42.8975,-95.299166
Wet Plant #1,123.1025,44.559166,-123.1025
Wet Branch Prep Plant,81.468056,38.163889,-81.468056
Westside Stone,93.385833,37.22,-93.385833
Westside Sand and Gravel,115.320556,36.247778,-115.320556
Westside Aggregate,122.397137,40.507469,-122.397137
Westphalia Quarry,92.095833,38.350555,-92.095833
Weston Wash Plant,89.497039,44.896673,-89.497039
Westmoreland County Strips,79.117222,40.422778,-79.117222
Westigan No 2 Mine,81.422777,37.601111,-81.422777
Westhampton Property Associates Inc,72.674444,40.861944,-72.674444
Westfield Quarry Plant #1,72.756944,42.131944,-72.756944
"Westfield Properties, Inc.",72.749538,42.125093,-72.749538
"WesTex Stone, Inc",99.5675,32.979166,-99.5675
Western Rock Reduction Portable,122.820124,42.583421,-122.820124
Western Rock Fast Pack,113.556111,37.122778,-113.556111
Western Ohio Cut Stone LLC,84.356389,39.988611,-84.356389
WESTERN MINE,116.226413,35.848299,-116.226413
Western Materials Site #1,109.963333,34.330833,-109.963333
Western Gravel Inc,107.787222,38.463333,-107.787222
Western Clay Co.,111.943333,38.920555,-111.943333
Western Aggregates LLC,121.450278,39.185556,-121.450278
Westchester Mine,81.706667,37.486389,-81.706667
West Warm Springs Field Project,108.080556,43.652222,-108.080556
West Valley Sand & Gravel,122.436667,40.388333,-122.436667
West Valley Pit,112.060497,40.653025,-112.060497
West Valley,112.047222,40.653056,-112.047222
WEST TENNESSEE PIT,106.339166,39.348333,-106.339166
West Stockbridge Quarry Plant #6,73.370277,42.312222,-73.370277
West Spring Energy,76.449444,40.764722,-76.449444
West Side Pit,112.314444,33.521944,-112.314444
West Shady Point ,94.800277,35.109166,-94.800277
WEST SAND LAKE PIT & MILL,74.006111,40.714166,-74.006111
West Sand ,71.266666,42.144444,-71.266666
West Roxbury Crushed Stone ,71.1585,42.2691,-71.1585
West Rock Products,92.886389,34.663889,-92.886389
WEST ROAD PIT,71.416111,42.825833,-71.416111
WEST RIFLE PIT,107.783056,39.534722,-107.783056
West Ridge Mine,110.438056,39.616667,-110.438056
WEST RIDGE GRAVEL CO. PIT AND MI,80.293889,42.023056,-80.293889
West Quarry,106.580833,31.965,-106.580833
West Point South Plant ,96.709722,41.830556,-96.709722
West Plant,112.160555,33.3375,-112.160555
West Plains Quarry,91.964592,36.774123,-91.964592
West Pit,99.0125,42.548611,-99.0125
West Pit,97.373266,43.99119,-97.373266
WEST PIT,97.061944,41.448055,-97.061944
West Nyack Quarry,73.957778,41.108056,-73.957778
West Neely Branch Deep Mine,82.325,37.874444,-82.325
West Jordan Pit,111.970135,40.626106,-111.970135
West Jordan,111.869167,40.391111,-111.869167
"West Hook Sand & Gravel, Inc. ",73.818333,41.536111,-73.818333
West End,76.608611,40.781944,-76.608611
West Elk Mine,107.458056,38.933056,-107.458056
West County Quarry,91.831944,37.964166,-91.831944
West Coast Rock and Sand,117.123611,32.901388,-117.123611
West Coast Aggregate Supply Inc,116.213888,33.8225,-116.213888
West Coast Aggregate Supply Inc,116.162222,33.636666,-116.162222
West Cazy Surface Mine,81.731389,37.928611,-81.731389
West Broadway ,112.227777,33.408333,-112.227777
West Bloomfield Mine,77.547939,42.905947,-77.547939
West Alabama Sand & Gravel,87.790277,33.758333,-87.790277
West 61,87.289722,38.158333,-87.289722
Werner Mine,80.385555,40.949722,-80.385555
Wells River Quarry,72.058081,44.157474,-72.058081
Wells Quarry C624,70.704166,43.302777,-70.704166
WELLS QUARRY,73.233055,43.455277,-73.233055
Wells Preparation Plant,81.680833,37.918056,-81.680833
Wells Pit,112.036056,41.409105,-112.036056
Wells Cargo Inc ,115.256388,36.1275,-115.256388
Wellmore #8 Prep Plant,82.191667,37.354167,-82.191667
Wellington Prep Plant Area,110.698056,39.5225,-110.698056
Wellington Portable,110.737778,39.542778,-110.737778
WELLES WASH PLANT,103.126944,38.874444,-103.126944
Welles Pug Mill,111.357222,45.648888,-111.357222
WELLES 4,111.595556,45.583889,-111.595556
WELLES 3,111.357222,45.648888,-111.357222
WELLES 2,111.595555,45.583888,-111.595555
WELLES 1,111.595555,45.583888,-111.595555
Welch Seam Mine,81.656388,37.439166,-81.656388
Weirsdale Sand Plant,81.86,28.980277,-81.86
WEIR PLANT,97.7325,30.616944,-97.7325
weidle corp.,84.349722,39.607778,-84.349722
WEHRLE QUARRY,78.671701,42.957459,-78.671701
Weeping Water Mine,96.120833,40.871111,-96.120833
Weeks Sand Pit,79.186111,35.294722,-79.186111
Weeks Island Mine and Mill,91.811389,29.805556,-91.811389
Weekly Pit,124.138889,43.064722,-124.138889
Wedron Plant,88.774444,41.436944,-88.774444
Wedowee Quarry,85.476111,33.331388,-85.476111
"WEDEKING PIT & PLANT, INC.",95.129374,43.320547,-95.129374
Webster,79.824166,37.3525,-79.824166
WEBER SAND & GRAVEL INC.,84.77342,41.426492,-84.77342
WEBER ROVING PLANT,93.097777,41.878055,-93.097777
WEBER QUARRY AND MILL,93.097777,41.878055,-93.097777
Weber Pit #2,106.986666,37.275277,-106.986666
Webb Pit,88.405556,40.178611,-88.405556
Web Summit ,82.363611,39.595833,-82.363611
Weaverland Quarry,76.059577,40.137907,-76.059577
WEAVER QUARRY,105.781944,39.55,-105.781944
Weatherford Quarry,98.041666,32.644444,-98.041666
Weatherford Plant,97.803889,32.733333,-97.803889
Weakley County Operations,88.633611,36.2325,-88.633611
WCP Inc dba Commercial Redi-Mix ,123.098333,44.919722,-123.098333
WBP Pit,71.706111,42.558888,-71.706111
Waynesville Quarry,83.007503,35.441225,-83.007503
Wayne J. Sand & Gravel Inc.,118.886111,34.326666,-118.886111
Wayne Gravel Products,78.259444,41.995555,-78.259444
Wayne County Rock,87.867002,35.299838,-87.867002
Wayne County River Terminal,82.569167,38.318333,-82.569167
Wayland Sand Pit #51,29.970555,31.2175,-29.970555
Wayland Refuse Pile,82.800278,37.445556,-82.800278
Wayland Plant ,85.545555,42.739444,-85.545555
Waverly Sand & Gravel,86.266666,39.558333,-86.266666
Waverly,120.943611,38.051667,-120.943611
Wausau Plant ,89.637703,44.950164,-89.637703
Waurika ,98.235833,34.271944,-98.235833
Wauregan Rd  Plant #3,71.9475,41.740555,-71.9475
WAUPACA INDUSTRIAL SAND CO,89.071388,44.351388,-89.071388
Waukesha Lime & Stone ,88.35545,42.9988,-88.35545
Waugh Pit,86.013333,32.370555,-86.013333
Wauconda Quarry,119.464444,48.647777,-119.464444
Wauconda Quarry,118.921388,48.763611,-118.921388
Watts Pit,95.117222,35.529166,-95.117222
Watson Gravel Pit,75.388356,43.811342,-75.388356
Watson Gravel Inc. (Middletown Plant),84.418611,39.494166,-84.418611
Watson Gravel Inc. (Edgewater Plant),84.741111,39.197777,-84.741111
Watson Gravel Inc (Ross Plant),84.561388,39.399444,-84.561388
Watson Gravel Inc (River Plant),84.637222,39.308611,-84.637222
Watson Gravel Inc (Harrison Plant),84.786388,39.183055,-84.786388
Watson Branch ,83.7775,36.573611,-83.7775
Watson #4,95.135833,35.258333,-95.135833
Watson #3,95.123017,35.253708,-95.123017
Watson #1,77.941666,41.740277,-77.941666
WATKINS BRIDGE,78.656944,37.431666,-78.656944
Waterwell Plant,97.57829,38.768567,-97.57829
Waterville Stone Quarry,83.730556,41.489444,-83.730556
Waterview,122.909148,45.950106,-122.909148
Watertown Sand & Stone/West Carthage Pit,75.763333,44.015278,-75.763333
Watertown Sand & Gravel ,75.874444,43.955,-75.874444
Watertown Plant,75.876389,44.084167,-75.876389
Watertown Plant,75.868552,43.985336,-75.868552
Watertown Ave ,73.076389,41.585,-73.076389
Watermelon Pit,81.760278,27.010556,-81.760278
Waterloo South Quarry ,92.298577,42.351025,-92.298577
Waterloo Sand ,92.377222,42.531944,-92.377222
Waterloo Plant #7,90.120277,38.288888,-90.120277
WATERFORD PIT & MILL,120.727222,37.647222,-120.727222
Waterford Crushed Stone C603,71.952777,44.374166,-71.952777
Waterflow Pit,108.508064,36.759701,-108.508064
Waterbury Quarry,72.976667,41.543611,-72.976667
WATAUGA QUARRY,82.288055,36.363888,-82.288055
Wastone Quarry ,89.513731,41.829247,-89.513731
WASTA SAND PLANT,102.462222,44.051111,-102.462222
Waskiewicz Pit & Plant,71.9725,41.670555,-71.9725
Washtenaw Sand & Gravel,85.6025,44.314722,-85.6025
Washplant 4,105.781944,39.55,-105.781944
Washplant 3,108.562778,39.056389,-108.562778
Washplant 2,108.552222,39.075,-108.552222
Washplant 1,108.520556,39.071667,-108.520556
Washplant (N Pit),96.526111,43.3975,-96.526111
Washplant #1 Serial #48x110,74.006111,40.714166,-74.006111
Washplant,109.995,40.291389,-109.995
Washplant,95.113913,46.703131,-95.113913
Washington Quarry,69.410277,44.252222,-69.410277
Washington Mine,122.671389,40.718889,-122.671389
Washington Crusher,69.373762,44.262084,-69.373762
Washington County Strips,79.999722,40.146388,-79.999722
Washington County Mine,82.810138,32.981543,-82.810138
Washington County Aggregates Inc,90.429722,37.787222,-90.429722
Washington County,116.95,44.246666,-116.95
Washing Plant #1,92.608055,43.985833,-92.608055
Washing Plant ,84.846131,42.560326,-84.846131
WASHING PLANT,88.750105,44.847395,-88.750105
Washie Road Sand Mine,80.356389,33.179444,-80.356389
Wash Screw #45712,94.866882,47.542464,-94.866882
Wash Screw #45708,94.874722,47.508888,-94.874722
Wash Screen,94.933055,47.015,-94.933055
Wash Plant Site,109.605833,48.584722,-109.605833
Wash Plant Primary,149.883715,61.156871,-149.883715
Wash Plant No 2  (Lesch Quarry),92.810555,43.231111,-92.810555
Wash Plant No 1 (Duenow Quarry),92.870555,43.405833,-92.870555
Wash Plant ML-42 ML-6,95.009444,45.26,-95.009444
WASH PLANT I,85.602364,44.314844,-85.602364
Wash Plant Herdering Inc.,94.716111,45.716111,-94.716111
Wash Plant Haas #3,88.787777,43.784444,-88.787777
Wash Plant 45720,94.874722,47.508888,-94.874722
Wash Plant 2,100.456667,45.4625,-100.456667
Wash Plant 2,82.490833,28.285,-82.490833
WASH PLANT 1,99.901813,43.969515,-99.901813
Wash Plant 1,99.614444,45.774722,-99.614444
Wash Plant 1,90.205833,42.295277,-90.205833
Wash Plant 1,82.490833,28.285,-82.490833
WASH PLANT & PORTABLE SCREEN,105.781944,39.549722,-105.781944
Wash Plant & Crusher,151.058333,60.487777,-151.058333
WASH PLANT #45-FABTEC,83.847222,44.091944,-83.847222
Wash Plant #45719,94.874722,47.508888,-94.874722
WASH PLANT #42-LB SMITH,84.2825,45.3975,-84.2825
