CURRENT_MINE_NAME,CURRENT_MINE_STATUS,CURRENT_CONTROLLER_NAME,CURRENT_OPERATOR_NAME,PRIMARY_SIC,latitude,longitude
GBI #11,Abandoned,Goodfellow Brothers Inc,Goodfellow Brothers Inc,Construction Sand and Gravel,21.361666,-157.916666
Halawa Valley,Active,MDU Resources Group Inc,Hawaiian Cement,"Crushed, Broken Stone NEC",21.371944,-157.9125
638 TPH Extec Portable Crusher,Abandoned,Sanford  Ota,SAN Construction LLC,Construction Sand and Gravel,21.371944,-157.9125
1500 TPH Portable Stone Quarry,Abandoned,Kajima International Inc,Hawaiian Dredging Construction Company,"Crushed, Broken Stone NEC",21.374722,-157.910277
Kapaa Quarry And Mill,Active,Pohaku Paa LLC,Ameron Hawaii LLC,"Crushed, Broken Traprock",21.378055,-157.769444
Tri-L Construction Inc. Quarry Division,Intermittent,Darryl  Leer,Tri-L Construction Inc.,"Crushed, Broken Stone NEC",21.093333,-157.023889
Plant 1,Abandoned,David H  Murdock,Castle & Cooke Resorts LLC,Construction Sand and Gravel,20.798888,-156.951944
Komatsu Portable Plant,Abandoned,David H  Murdock,Castle & Cooke Resorts LLC,Construction Sand and Gravel,20.819166,-156.919722
Waikapu Sand Pit,Abandoned,MDU Resources Group Inc,Hawaiian Cement,Construction Sand and Gravel,20.856666,-156.511111
Waikapu Quarry,Active,MDU Resources Group Inc,Hawaiian Cement,"Crushed, Broken Stone NEC",20.880871,-156.504856
Puunene Quarry,Active,MDU Resources Group Inc,Hawaiian Cement,"Crushed, Broken Stone NEC",20.851804,-156.461111
Puunene Camp 10 Quarry,Active,Pohaku Paa LLC,Ameron Hawaii LLC,"Crushed, Broken Traprock",20.8638,-156.4531
GBI #10,Abandoned,Goodfellow Brothers Inc,Goodfellow Brothers Inc,Construction Sand and Gravel,20.735833,-156.446111
Finlay Screen GBI #12,Abandoned,Goodfellow Brothers Inc,Goodfellow Bros Inc,Construction Sand and Gravel,20.735833,-156.446111
GBI #2,Intermittent,Goodfellow Brothers Inc,"Goodfellow Bros., Inc.",Construction Sand and Gravel,20.735833,-156.446111
GBI #18,Abandoned,Goodfellow Brothers Inc,"Goodfellow Bros., Inc.",Construction Sand and Gravel,20.735833,-156.446111
GBI #16,Abandoned,Goodfellow Brothers Inc,Goodfellow Brothers Inc,Construction Sand and Gravel,20.735833,-156.446111
Anvil Creek Mine,Temporarily Idled,American Standard Metal LLC; Daniel  Plano,Anvil Creek LLC,Gold Ore,62.975278,-156.125
Plant 1 Portable Crusher,Intermittent,Daniel B  Bolton,Bolton Inc,"Crushed, Broken Stone NEC",19.699388,-156.017846
Plant 2 Portable Crusher,Intermittent,Daniel B  Bolton,Bolton Inc,"Crushed, Broken Stone NEC",19.699388,-156.017846
Crusher F,Intermittent,Larry  Isemoto,"Isemoto Contracting Co., Ltd.",Construction Sand and Gravel,19.672222,-156.016111
CTS Earthmoving Inc,Intermittent,Christian D  Twigg Smith,CTS Earthmoving Inc,"Crushed, Broken Stone NEC",19.672364,-156.015984
Portable Plant - 5 (#1184),Abandoned,Hiram  Rivera,"E.M. Rivera & Sons, Inc","Crushed, Broken Stone NEC",19.674444,-156.0125
Portable Plant - 2 (#1117),Abandoned,Hiram  Rivera,E M Rivera & Sons Inc,Construction Sand and Gravel,19.674444,-156.0125
Portable Plant - 3 (#1150),Abandoned,Hiram  Rivera,"E.M. Rivera & Sons, Inc",Construction Sand and Gravel,19.674444,-156.0125
Portable Plant - 4 (#1148),Abandoned,Hiram  Rivera,"E.M. Rivera & Sons, Inc",Construction Sand and Gravel,19.674444,-156.0125
Crusher B,Intermittent,Larry  Isemoto,Isemoto Contracting Company Ltd,Construction Sand and Gravel,19.662222,-156.010277
Minya-30x42 Portable,Abandoned,Fooney  Freestone; Lane  Uchimura,"Nan, Inc.","Crushed, Broken Stone NEC",19.7425,-156.01
38 x 58 Telsmith,Abandoned,Frederick G  Lam,Keauhou Kona Construction Corp.,"Crushed, Broken Stone NEC",19.7425,-156.01
Kona Sand Plant,Intermittent,MDU Resources Group Inc,West Hawaii Concrete,Construction Sand and Gravel,19.680277,-156.01
POWERSCREEN,Intermittent,Mark  Jernigan,SOIL PLUS,Construction Sand and Gravel,19.674257,-156.008894
Portable-1,Intermittent,MDU Resources Group Inc,West Hawaii Concrete,"Crushed, Broken Stone NEC",19.640555,-155.995555
Mobile Crusher Two,Abandoned,Christian D  Twigg Smith,CTS Earthmoving Inc,Construction Sand and Gravel,19.640555,-155.995555
Mobile Crusher One Jaw Crusher,Intermittent,Fooney  Freestone; Lane  Uchimura,"Nan, Inc.",Construction Sand and Gravel,19.640555,-155.995555
Mobile One Cone Plant,Intermittent,Fooney  Freestone; Lane  Uchimura,"Nan, Inc.","Sand, Industrial NEC",19.640555,-155.995555
Mobile 3 Crawler Jaw,Abandoned,Christian D  Twigg Smith,CTS Earthmoving Inc,Construction Sand and Gravel,19.640555,-155.995555
GW Construction ,Abandoned,Gerald  Yamada,GW Construction,Construction Sand and Gravel,19.645,-155.988888
GBI #9,Intermittent,Goodfellow Brothers Inc,Goodfellow Brothers Inc,Construction Sand and Gravel,19.799167,-155.903611
Finley Screen GBI #7,Abandoned,Goodfellow Brothers Inc,Goodfellow Brothers Inc,Construction Sand and Gravel,19.799166,-155.903611
West Hawaii Landfill,Abandoned,Waste Management Holdings Inc,Waste Management of Hawaii,Construction Sand and Gravel,19.861944,-155.826388
Nordberg LT-105 GBI #13,Abandoned,Goodfellow Brothers Inc,Goodfellow Brothers Inc,"Crushed, Broken Stone NEC",19.884166,-155.796666
Crusher C,Intermittent,Larry  Isemoto,Isemoto Contracting Company Ltd,Construction Sand and Gravel,19.936666,-155.789444
Crusher D,Intermittent,Larry  Isemoto,"Isemoto Contracting Co., Ltd.","Crushed, Broken Stone NEC",19.936666,-155.789444
Big Island Concrete & Aggregate,Abandoned,Chris  Harlan,Big Island Concrete & Aggregate,"Crushed, Broken Stone NEC",19.142222,-155.736388
Arrow Hawaiian dba.,Active,Joseph  Chamberlain,Arrow of Oregon/Hawaii LLC,Construction Sand and Gravel,19.133283,-155.72929
Portable-2,Intermittent,MDU Resources Group Inc,West Hawaii Concrete,"Crushed, Broken Stone NEC",19.905598,-155.684516
Waimea Quarry,Intermittent,MDU Resources Group Inc,West Hawaii Concrete ,"Crushed, Broken Stone NEC",19.905555,-155.684444
Puuheihei Cinder Quarry,Active,Edwin  DeLuz,Edwin Deluz Trucking & Gravel LLC,"Crushed, Broken Stone NEC",19.898682,-155.665857
Quarry 2 - Portable,Abandoned,Ken Beau  Kiyosaki,Kiyosaki Tractor Works Inc,Construction Sand and Gravel,19.898611,-155.665833
Terra ,Intermittent,WestMountain Gold Inc,Terra Gold Corp,Gold Ore,62.953204,-155.595992
McGrath EWP,Abandoned,Larry L  Smith; Joseph D  Smith,D & L Construction,Construction Sand and Gravel,62.948611,-155.585555
Edwin DeLuz Trucking & Gravel LLC,Active,Edwin  DeLuz,Edwin DeLuz Trucking & Gravel LLC,"Crushed, Broken Stone NEC",20.028055,-155.565555
Plant One,Intermittent,Hugh H  Willocks,Willocks Construction Corporation,Construction Sand and Gravel,19.691194,-155.090386
"Yamada And Sons, Inc.",Active,Donald  Yamada,"Yamada and Sons, Inc.","Crushed, Broken Stone NEC",19.708683,-155.063548
Hilo Crusher,Active,James W Glover Holding Company Ltd,James W Glover Ltd,"Crushed, Broken Traprock",19.708174,-155.057179
Crusher A,Abandoned,Larry  Isemoto,Isemoto Contracting Company Ltd,"Crushed, Broken Stone NEC",19.715555,-155.050833
Crusher E,Intermittent,Larry  Isemoto,"Isemoto Contracting Co., Ltd.",Construction Sand and Gravel,19.706111,-155.042222
Keaau Quarry,Active,Russell  Kuwaye,Puna Rock Company Ltd,"Crushed, Broken Stone NEC",19.626944,-155.021388
Sanford's Service Center Incorporated,Active,Sanford  Iwata,Sanford's Service Center Inc,"Crushed, Broken Stone NEC",19.506944,-154.958889
LP,Intermittent,Sanford  Iwata,"Sanford's Service Center, Inc.",Construction Sand and Gravel,19.49786,-154.950897
KP-1,Intermittent,Sanford  Iwata,"Sanford's Service Center, Inc.",Construction Sand and Gravel,19.490266,-154.869411
Nixon Fork Mine,Abandoned,Fire River Gold,Mystery Creek Resources Inc,Gold Ore,63.2375,-154.765278
Knik Crusher #1,Intermittent,Lynden Inc,Knik Construction Company Inc,"Crushed, Broken Stone NEC",62.516944,-154.708333
Olive Creek Mine,Intermittent,Robert  Mau; Jacob D  Eisel,Buckeye Land and Minerals Inc,Gold Ore,63.588753,-154.493062
Thunderbird Crusher,Intermittent,John D  West Sr,Board Of Trade Inc,Construction Sand and Gravel,63.588889,-154.493056
Dome Creek/Seattle Creek,Temporarily Idled,James L  Thurman,Earth Movers of Fairbanks Inc,Gold Ore,63.588889,-154.493056
Kiana Pit,Intermittent,Roger  Schnabel,Southeast Road Builders,"Crushed, Broken Stone NEC",63.588889,-154.493056
Ester Sand & Gravel,Intermittent,Roger  Moore; Walter  Largent,Ester Sand & Gravel,Gold Ore,63.588889,-154.493056
#7 Below Discovery,Intermittent,Kenneth A  Lee; Winona Jo  Lee,Kenwin Enterprises,Gold Ore,63.588889,-154.493056
Middle Fork Mine,Intermittent,Russell D  Hoffman,Hoffman Mining,Gold Ore,63.588888,-154.493055
Portable Crusher,Intermittent,Judy A  Martinson,Northcoast Construction Inc,"Crushed, Broken Stone NEC",63.588888,-154.493055
Ketchem Creek,Intermittent,Fred  Wilkinson,Miller Creek Mining,Gold Ore,63.588888,-154.493055
Taiga Mining - Hog River,Intermittent,Jerome  Birch,"Taiga Mining Company, Inc.",Gold Ore,63.588888,-154.493055
Portable Crusher,Intermittent,A John  Minder,Great Northwest Inc,"Crushed, Broken Stone NEC",63.588888,-154.493055
Robert Davidson Ag & Bld Supply,Abandoned,Robert  Davidson,Robert Davidson Ag & Bld Supply,"Crushed, Broken Stone NEC",63.588888,-154.493055
Inlet View Construction,Abandoned,Paul  Simonds; Sue  Simonds,Inlet View Construction,Construction Sand and Gravel,63.588888,-154.493055
Green Mountain,Intermittent,,Kiewit Infrastructure West Co.,"Crushed, Broken Stone NEC",57.778333,-152.453889
Terex Finley Mobile,Intermittent,Richard A  Ryser,"Golden Alaska Excavating, LLC",Construction Sand and Gravel,57.786913,-152.421567
Mobile Crusher #1,Intermittent,F & R Incorporated,Brechan Enterprises Inc,Construction Sand and Gravel,57.79,-152.407222
Mobile Crusher #2,Intermittent,F & R Incorporated,Brechan Enterprises Inc,Construction Sand and Gravel,57.79,-152.407222
Mobile Crusher #3,Abandoned,F & R Incorporated,Brechan Enterprises Inc,Construction Sand and Gravel,57.79,-152.407222
Portable Crusher 1090,Abandoned,J Dana  Pruhs,Pruhs Construction,Construction Sand and Gravel,57.914722,-152.405833
NEAR ISLAND QUARRY,Intermittent,Steven L DeHart,B & R FISH BY PRODUCTS INC.,Construction Sand and Gravel,57.783665,-152.405638
Chieftain 1400,Abandoned,Michael W  Anderson,Anderson Construction Co.,"Crushed, Broken Stone NEC",57.813056,-152.354444
Anderson # 1-Near Island,Abandoned,Michael W  Anderson,Anderson Construction Co.,"Crushed, Broken Stone NEC",57.813055,-152.354444
Brown Construction Co Inc,Intermittent,Donald D  Brown,"Brown Construction Co, Inc.",Construction Sand and Gravel,59.756666,-151.782222
Dibble Creek Rock Portable Screen Plant,Abandoned,Cap  Shafer; Cam  Shafer; Brok  Shafer,Dibble Creek Rock Ltd,Construction Sand and Gravel,60.023888,-151.701111
Portable Crushing Unit,Intermittent,Troy  Jones,"East Road Services, Inc.",Construction Sand and Gravel,59.7181,-151.636
Eagle Lake Gravel Pit,Abandoned,Troy  Jones,East Road Services Inc.,Construction Sand and Gravel,59.720833,-151.293611
Douglas Norris Pit,Abandoned,Douglas  Norris,Douglas Norris,Construction Sand and Gravel,60.465833,-151.171111
ARB Crusher #1,Intermittent,Ronald  Davis,Alaska RoadBuilders,Construction Sand and Gravel,60.5025,-151.071944
Gerhart Pit,Intermittent,Jack J  Foster,North Star Paving & Construction Inc,"Crushed, Broken Stone NEC",60.5004,-151.066
Davis Block Company,Intermittent,Scott  Davis,Davis Block Company Inc,Construction Sand and Gravel,60.4826,-151.066
Slikok Pit,Intermittent,Larry L  Smith; Joseph D  Smith,"D & L Construction Co., Inc.",Construction Sand and Gravel,60.487778,-151.058333
Wash Plant & Crusher,Intermittent,Terry  Best,Best Transit Mix,"Crushed, Broken Stone NEC",60.487777,-151.058333
Wild Goose,Intermittent,Jason H  Dobson,Billy M Dobson,Gold Ore,65.001111,-150.633888
Independence Day Discovery,Temporarily Idled,Joseph H.  Coup,Joe Coup,Gold Ore,67.228889,-150.221667
Goldndreams,Intermittent,Lynn H  Lythgoe III,"LNT Mining, LLC.",Gold Ore,67.228888,-150.221666
"Fryar Gold Mining Group Venture, LLC",Abandoned,Brett L  Fryar,"Fryar Gold Mining Group Venture, LLC",Gold Ore,67.2525,-150.177222
L & N Ventures,Intermittent,Nanthawan  Huse,L & N Ventures,Construction Sand and Gravel,62.319166,-150.105277
Quality Sand & Gravel L.L.C.,Intermittent,J Dana  Pruhs,Quality Sand & Gravel LLC,Construction Sand and Gravel,61.3375,-150.099166
Knik Landscaping ,Intermittent,Jake  Marquez,Knik Landscaping,Construction Sand and Gravel,61.3375,-150.099166
Sunshine Redi-Mix,Abandoned,Leslie  Wheatley,Sunshine Redi-Mix,Construction Sand and Gravel,61.747222,-150.0375
Pionner Sand & Gravel LLC,Intermittent,David A.  Alborn,"Pioneer Sand & Gravel, LLC",Construction Sand and Gravel,61.747222,-150.0375
Goose Creek Correctional Center,Abandoned,Gerald  Neeser,Gravier Trucking LLC,Construction Sand and Gravel,61.359722,-149.986111
Knik Crusher #2,Intermittent,Lynden Inc,"Knik Construction Co. , Inc.","Crushed, Broken Stone NEC",61.161944,-149.985833
Ugadaga Quarry,Intermittent,Archie  Stepp; Glenn R  Olson,"Northern Alaska Contractors, LLC",Construction Sand and Gravel,61.19123,-149.934808
NYAC Mining Co,Intermittent,John M  James,NYAC Mining Co,Gold Ore,61.209722,-149.915
West Dowling Road Mill,Abandoned,Granite Construction Inc,Granite Construction Company,Construction Sand and Gravel,61.164444,-149.906944
Eagle Crusher,Abandoned,Cook Inlet Regional Inc; Nabors Industries Inc,"Alaska Interstate Construction, LLC.",Construction Sand and Gravel,61.218055,-149.900277
Clemro Jaw Crusher,Intermittent,Cook Inlet Regional Inc; Nabors Industries Inc,"Alaska Interstate Construction, LLC.",Construction Sand and Gravel,61.217777,-149.894166
#1 Portable Crusher,Temporarily Idled,Granite Construction Inc,Granite Construction Company,Construction Sand and Gravel,61.12,-149.893611
Screen Plant #1,Abandoned,Gerald  Neeser,Gravier Trucking Ltd,Construction Sand and Gravel,61.197777,-149.891944
Wash Plant Primary,Intermittent,Colas S A,QAP,Construction Sand and Gravel,61.156871,-149.883715
#7-200 Portable Crusher,Intermittent,Colas S A,QAP,Construction Sand and Gravel,61.156944,-149.883611
LCS1,Abandoned,Linda K  Bowers,L and C Services Inc.,Construction Sand and Gravel,61.136666,-149.883333
#7-100 Portable,Intermittent,Colas S A,QAP,Construction Sand and Gravel,61.156667,-149.882778
Aggregate Products,Intermittent,Colas S A,QAP,Construction Sand and Gravel,61.156666,-149.882777
#7-300 Crusher C Portable,Intermittent,Colas S A,QAP,"Crushed, Broken Stone NEC",61.156666,-149.882777
Ahtna Contractors Portable Crusher,Abandoned,Ahtna Inc,Ahtna Contractors LLC,"Crushed, Broken Stone NEC",61.180277,-149.879722
Klatt Terminal,Intermittent,MDU Resources Group Inc,Anchorage Sand & Gravel Company Inc,Construction Sand and Gravel,61.122777,-149.876944
#2 Portable Crusher,Temporarily Idled,Granite Construction Inc,Granite Construction Company,Dimension Stone NEC,61.118056,-149.874167
1092 Horizontal Crusher ,Abandoned,J Dana  Pruhs,Pruhs Construction ,Construction Sand and Gravel,61.223889,-149.870278
Portable Crusher #1,Abandoned,Greg  Clayton,"GMC Contracting, Inc",Construction Sand and Gravel,60.49,-149.834166
ARCTEC Alaska Portable # 1,Abandoned,Arctic Slope World Services; Atco Frontec Corp,Arctec Alaska JV,"Crushed, Broken Stone NEC",61.244444,-149.831388
Davis Creek Mine,Intermittent,Greg  Clayton,Davis Creek LLC,Gold Ore,67.844236,-149.816923
Plant No. 1 Chieftain 1400,Abandoned,United States Government,Bureau Of Indian Affairs,Construction Sand and Gravel,61.148888,-149.801111
Plant No. 2 Tesab Rotocrusher,Abandoned,United States Government,Bureau Of Indian Affairs,Construction Sand and Gravel,61.148888,-149.801111
Plant No. 3 Pegson Metro Trac,Abandoned,United States Government,Bureau Of Indian Affairs,Construction Sand and Gravel,61.148888,-149.801111
Bush Pilot,Intermittent,Robert B  Fisher,Dirt Company,Construction Sand and Gravel,61.621111,-149.798055
EAFB - Davis Hwy,Intermittent,Arctic Slope Regional Corp,ASRC Civil Construction LLC,Construction Sand and Gravel,61.253055,-149.793888
Ginjen,Intermittent,Charles Jacob  Conrad,CC Enterprises,Construction Sand and Gravel,61.582222,-149.655
#7-400 Portable Crusher,Intermittent,Colas S A,QAP,Construction Sand and Gravel,61.585278,-149.577778
Birchwood Loading Station,Abandoned,MDU Resources Group Inc,Anchorage Sand & Gravel Company Inc,Construction Sand and Gravel,61.411388,-149.501944
Birchwood Facility,Abandoned,Granite Construction Inc,Granite Construction Company,Construction Sand and Gravel,61.411388,-149.501944
Moosehorn Quarry,Abandoned,David L  Mallars,Moosehorn Quarry LLC,Construction Sand and Gravel,61.378888,-149.500277
Glacier Mining LLC,Intermittent,Gregory D  Walters; Robert D  Kingsley,Glacier Mining LLC,Gold Ore,64.200833,-149.493611
Portable Powerscreen / Pioneer Jaw,Abandoned,David  Sjostedt,Eagle Contracting Incorporated,"Crushed, Broken Traprock",64.200833,-149.493611
Rock Alaska LLC,Intermittent,Ralph  Doyle; Monte  Doyle,Rock Alaska LLC,"Crushed, Broken Stone NEC",61.408823,-149.493093
Skookum Rock Quarry,Intermittent,Jeff  Hamilton; Joan  Hamilton,"Hamilton Construction, LLC","Crushed, Broken Stone NEC",61.408823,-149.493093
Cange Pit,Intermittent,Colas S A,QAP,Construction Sand and Gravel,61.580556,-149.475
Fitz Pit,Intermittent,Jerry M  Harman,"Alaska Construction & Paving, Inc.",Construction Sand and Gravel,61.585555,-149.456666
Brandys,Abandoned,Charles Jacob  Conrad,C C  Enterprises,"Sand, Industrial NEC",61.581111,-149.450555
Goldorado,Abandoned,,Goldorado Company,Construction Sand and Gravel,61.616944,-149.443055
B & E,Abandoned,John  Emmi; Steve M  Bargabos,B & E Construction,Construction Sand and Gravel,61.581388,-149.439444
Metco River Bar & Plant,Intermittent,David  Dieckgraeff,Metco Inc,Construction Sand and Gravel,60.140555,-149.420555
Marion Creek Mine,Abandoned,John J  Perkins,Perkins Prospecting,Gold Ore,61.61,-149.418055
Wasilla Concrete Pit & Plant,Abandoned,Michael D  Smith,Wasilla Concrete,Construction Sand and Gravel,61.578611,-149.416944
Greenstreet Pit,Intermittent,Darrel Ray  Greenstreet,"Greenstreet Investments, LLC",Construction Sand and Gravel,61.585109,-149.381512
Rock Grizzly,Abandoned,Albert E  Schafer,"Afognak Construction & Excavating, Inc.","Crushed, Broken Stone NEC",60.121944,-149.368888
Valdez Creek Mine,Temporarily Idled,Mark  Anzivino,M.A. Mining,Gold Ore,63.058333,-149.366667
Wolf Pit,Intermittent,Granite Construction Inc,Granite Construction Company,Construction Sand and Gravel,61.572222,-149.299722
Cruz Kodiak Crusher,Abandoned,David Cramer  Cruz,"Cruz Construction, Inc",Construction Sand and Gravel,61.597222,-149.273333
Valley Block & Concrete,Intermittent,Kathy  Purviance; Dennis D  Purviance,Valley Block & Concrete,Construction Sand and Gravel,63.245,-149.248611
AAA Valley Gravel,Intermittent,William J  Fuger,AAA Valley Gravel Inc,Construction Sand and Gravel,61.596666,-149.243333
GNP Mine,Intermittent,"Goldrich Mining Company; Nyac Gold, LLC",Goldrich Nyac AU Placer LLC,Gold Ore,67.191667,-149.167222
Lucas Pit,Intermittent,Granite Construction Inc,Granite Construction Company,"Crushed, Broken Stone NEC",61.594166,-149.133611
Mueller Mountain,Abandoned,David Cramer  Cruz,"Cruz Construction, Inc.","Crushed, Broken Stone NEC",61.578055,-149.126666
Palmer Loading Station ,Intermittent,MDU Resources Group Inc,Anchorage Sand & Gravel Company Inc,Construction Sand and Gravel,61.612602,-149.118251
Conrock North Pit,Intermittent,Granite Construction Inc,Granite Construction Company,Construction Sand and Gravel,61.489166,-149.095833
Power Screen Chieftan 1400 Kuparuk,Abandoned,Arctic Slope Regional Corp,"ASRC Energy Services Alaska, Inc.",Construction Sand and Gravel,70.410555,-148.972222
Usibelli,Active,Joseph E  Usibelli,Usibelli Coal Mine Inc,Coal (Bituminous),63.856944,-148.966111
Northland Coal Screening Plant,Active,Mark W  Sanford,Northland Fuels and Energy,Coal (Bituminous),63.856944,-148.966111
White Creek ,Abandoned,Alaska Gold Extraction LLC,Highlight Canyon LLC,Gold Ore,63.391667,-148.950833
Channel Quest,Intermittent,Michael J  Kingsbury; Deborah M  Albert,Ellet Enterprises Inc,Gold Ore,63.391667,-148.950833
Roosevelt Creek Mining Company,Abandoned,Steven J  Priddle,Roosevelt Creek Mining Company,Gold Ore,63.391667,-148.950833
White Creek Mine,Intermittent,John  Cioffoletti,"Valdez Creek Mining, LLC",Gold Ore,63.391667,-148.950833
