VIOLATOR_TYPE_CD,MINE_TYPE,COAL_METAL_IND,SIG_SUB,LIKELIHOOD,INJ_ILLNESS,NO_AFFECTED,NEGLIGENCE,SPECIAL_ASSESS,PRIMARY_OR_MILL,ASMT_GENERATED_IND,CONTESTED_IND,VIOLATOR_VIOLATION_CNT,VIOLATOR_INSPECTION_DAY_CNT,ACTIVITY,ACTIVE_SECTIONS,IDLE_SECTIONS,SHAFT_SLOPE_SINK,IMPOUND_CONSTR,BLDG_CONSTR_SITES,DRAGLINES,UNCLASSIFIED_CONSTR,CO_RECORDS,SURF_UG_MINE,SURF_FACILITY_MINE,REFUSE_PILES,EXPLOSIVE_STORAGE,OUTBY_AREAS,MAJOR_CONSTR,SHAFTS_SLOPES,IMPOUNDMENTS,MISC_AREA,PROGRAM_AREA,SAMPLE_CNT_AIR,SAMPLE_CNT_DUSTSPOT,SAMPLE_CNT_DUSTSURVEY,SAMPLE_CNT_RESPDUST,SAMPLE_CNT_NOISE,SAMPLE_CNT_OTHER,NBR_INSPECTORS,TOTAL_ON_SITE_HOURS,TOTAL_INSP_HOURS,COAL_METAL_IND,TOTAL_ON_SITE_HRS_SPVR_TRAINEE,TOTAL_INSP_HRS_SPVR_TRAINEE,PRIMARY_SIC,PRIMARY_CANVASS,PORTABLE_OPERATION,PORTABLE_FIPS_ST_CD,DAYS_PER_WEEK,HOURS_PER_SHIFT,PROD_SHIFTS_PER_DAY,MAINT_SHIFTS_PER_DAY,NO_EMPLOYEES,PART48_TRAINING,AVG_MINE_HEIGHT,PILLAR_RECOVERY_USED,HIGHWALL_MINER_USED,MULTIPLE_PITS
Operator,Surface,M,N,Unlikely,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,19,9,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,49,5,8,1,0,4,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,LostDays,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,12,8,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,5,8,1,0,8,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,21,13,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,22,17,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,08,5,8,1,0,5,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,22,13,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,5,8,1,0,8,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,43,41,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,LostDays,1,HighNegligence,N,Primary,N,N,0,0,"VERBAL HAZARD COMPLAINT",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--VERBAL HAZARD COMPLAINT",0,0,0,0,0,0,1,42,36,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,49,5,8,1,0,8,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"MISCELLANEOUS INSPECTION/INVESTIGATION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--MISCELLANEOUS INSPECTION/INVESTIGATION",0,0,0,0,0,0,1,4,4,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,49,5,8,1,0,8,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,LostDays,1,LowNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,17,15,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,08,5,8,1,0,4,Y,0,N,N,N
Operator,Surface,M,N,NoLikelihood,NoLostDays,0,ModNegligence,N,Primary,N,N,2,3,"COMPLIANCE FOLLOW-UP INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--COMPLIANCE FOLLOW-UP INSPECTION",0,0,0,0,0,0,2,4,1,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,35,5,8,1,0,3,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,2,41,31,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,49,5,8,1,0,8,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,LostDays,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,12,6,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,49,5,8,1,0,4,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,20,16,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,49,5,8,1,0,2,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Fatal,4,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,30,23,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,6,10,1,0,9,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,LostDays,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,18,8,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,5,8,1,0,2,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,20,14,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,21,15,M,0,0,"Crushed, Broken Limestone NEC",Stone,N,,1,9,5,0,29,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"VERBAL HAZARD COMPLAINT",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--VERBAL HAZARD COMPLAINT",0,0,0,0,0,0,1,7,1,M,0,0,"Common Shale",Nonmetal,N,,4,10,1,0,9,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,LostDays,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,33,18,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,55,5,10,1,0,3,Y,0,N,N,N
Operator,Underground,M,N,Unlikely,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"MISCELLANEOUS INSPECTION/INVESTIGATION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--MISCELLANEOUS INSPECTION/INVESTIGATION",0,0,0,0,0,0,2,39,20,M,0,0,"Gold Ore",Metal,N,,1,0,0,1,1,N,0,N,N,N
Operator,Surface,M,Y,Reasonably,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,12,8,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,35,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,25,13,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,N,NoLikelihood,NoLostDays,0,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,6,2,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,08,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,2,22,15,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,49,5,8,1,0,4,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,27,25,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,11,6,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,5,8,1,0,8,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,LostDays,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,2,106,49,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,1,8,5,0,4,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,13,7,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,1,8,5,0,4,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,LostDays,1,LowNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,21,15,M,0,0,"Crushed, Broken Granite",Stone,N,,5,8,1,0,12,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,110,58,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,0,0,0,0,0,Y,0,N,N,N
